Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Alexander Isak,14,se SWE,FW,25-105,85,33,2,3,13,17,5,33,1,0,0.0,1,100.0,22,98,55,2,1,0,2,0,25,5
Joe Willock,28,eng ENG,FW,25-137,5,4,0,0,0,4,0,4,1,1,100.0,0,0.0,3,34,24,1,1,0,1,0,3,2
Anthony Gordon,10,eng ENG,LW,23-315,77,43,1,6,11,27,6,43,2,0,0.0,2,100.0,27,129,82,6,1,3,0,2,26,12
Harvey Barnes,11,eng ENG,LW,27-026,13,8,0,2,3,3,2,8,0,0,,0,,7,34,23,2,0,2,0,0,8,1
Jacob Murphy,23,eng ENG,RW,29-315,85,40,2,6,18,16,3,40,2,1,50.0,1,50.0,24,184,112,3,2,0,0,3,29,8
Sean Longstaff,36,eng ENG,LM,27-066,5,5,0,2,1,2,0,5,0,0,,0,,2,11,0,0,0,0,0,0,4,0
Joelinton,7,br BRA,"LM,RW",28-143,90,48,3,13,21,14,2,48,4,2,50.0,2,50.0,22,129,58,1,1,0,0,2,30,4
Sandro Tonali,8,it ITA,CM,24-241,90,43,4,12,23,9,1,43,1,0,0.0,1,100.0,25,131,71,3,3,1,0,1,29,0
Bruno Guimarães,39,br BRA,RM,27-049,90,59,2,10,30,20,2,59,2,0,0.0,0,0.0,44,201,102,1,1,0,0,4,45,4
Lewis Hall,20,eng ENG,LB,20-118,90,50,1,23,15,12,1,50,1,0,0.0,0,0.0,26,158,79,1,0,0,1,1,26,4
Dan Burn,33,eng ENG,CB,32-240,90,42,12,23,15,4,1,42,0,0,,0,,18,74,18,1,0,0,0,1,18,0
Sven Botman,4,nl NED,CB,24-358,89,52,7,25,26,2,2,52,3,1,33.3,1,33.3,27,86,25,0,0,0,0,0,27,0
Lloyd Kelly,25,eng ENG,CB,26-090,1,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Valentino Livramento,21,eng ENG,RB,22-053,90,71,6,26,33,16,2,71,4,2,50.0,2,50.0,35,209,60,2,2,2,1,1,32,0
Martin Dúbravka,1,sk SVK,GK,35-355,90,21,17,20,1,0,0,21,0,0,,0,,10,77,58,0,0,0,0,0,5,0
