Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Alexander Isak,14,se SWE,FW,25-170,78,16,15,1,0,0,0,0,0,0,0,0,0,12,0,2
Callum Wilson,9,eng ENG,FW,33-011,12,8,8,0,0,0,0,0,0,0,0,0,0,4,0,2
Harvey Barnes,11,eng ENG,LW,27-091,78,28,28,0,0,0,0,2,0,0,0,0,0,23,0,2
Joe Willock,28,eng ENG,LW,25-202,12,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0
Jacob Murphy,23,eng ENG,RW,30-014,90,35,35,0,0,0,0,6,0,0,0,0,0,24,0,1
Joelinton,7,br BRA,LM,28-208,90,36,34,1,0,0,0,1,1,0,0,0,0,31,1,1
Sandro Tonali,8,it ITA,CM,24-306,90,45,45,0,0,0,0,1,0,0,0,0,0,37,0,1
Bruno Guimarães,39,br BRA,RM,27-114,87,47,47,0,0,1,0,0,0,0,0,0,0,42,0,0
Sean Longstaff,36,eng ENG,RM,27-131,3,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Valentino Livramento,21,eng ENG,LB,22-118,90,72,62,10,1,0,0,2,9,0,0,0,0,63,0,2
Dan Burn,33,eng ENG,CB,32-305,90,42,42,0,0,0,0,0,0,0,0,0,0,33,0,1
Fabian Schär,5,ch SUI,CB,33-080,90,47,45,2,1,0,0,3,1,0,0,0,0,36,0,0
Kieran Trippier,2,eng ENG,RB,34-172,90,72,55,17,2,0,0,5,11,4,0,0,3,57,0,1
Nick Pope,22,eng ENG,GK,32-325,90,27,18,9,3,0,0,0,0,0,0,0,0,15,0,0
