Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Alexander Isak,14,se SWE,FW,25-042,90,0,0,0,1,1,0,0,0,0,0,0,0,1,1,4,20.0
Joelinton,7,br BRA,LW,28-080,90,0,0,0,4,1,0,1,0,1,0,0,0,4,2,1,66.7
Anthony Gordon,10,eng ENG,RW,23-252,84,0,0,0,1,1,0,7,1,2,0,0,0,4,1,0,100.0
Harvey Barnes,11,eng ENG,"RW,RM",26-329,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
Joe Willock,28,eng ENG,LM,25-074,64,1,0,0,3,2,0,1,0,2,0,0,0,2,0,2,0.0
Sandro Tonali,8,it ITA,"LM,CM",24-178,26,1,0,0,1,2,0,3,1,0,0,0,0,0,0,0,
Bruno Guimarães,39,br BRA,CM,26-352,89,0,0,0,2,7,0,0,0,0,0,0,0,8,2,0,100.0
Lloyd Kelly,25,eng ENG,"CB,CM",26-027,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sean Longstaff,36,eng ENG,RM,27-003,90,0,0,0,2,1,0,0,1,3,0,0,0,3,0,2,0.0
Lewis Hall,20,eng ENG,LB,20-055,90,0,0,0,1,2,0,0,1,3,0,0,0,7,4,1,80.0
Dan Burn,33,eng ENG,CB,32-177,90,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,50.0
Fabian Schär,5,ch SUI,CB,32-318,90,1,0,0,1,0,0,1,1,0,0,0,0,3,2,0,100.0
Valentino Livramento,21,eng ENG,RB,21-356,90,0,0,0,0,0,0,0,1,3,0,0,0,7,2,1,66.7
Nick Pope,22,eng ENG,GK,32-197,90,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
