Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Anthony Gordon,10,eng ENG,FW,23-224,90,1,1,0,1,0,0,0,,0,3,0,3,0,1,0,0
Harvey Barnes,11,eng ENG,LW,26-301,61,3,1,1,1,1,0,0,,0,1,0,1,1,4,1,0
Miguel Almirón,24,py PAR,RW,30-238,29,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Jacob Murphy,23,eng ENG,"RW,LW",29-224,68,4,2,3,1,0,1,1,100.0,0,1,0,1,1,5,1,0
Joe Willock,28,eng ENG,LW,25-046,22,0,0,0,0,0,0,3,0.0,3,2,0,2,0,0,0,0
Joelinton,7,br BRA,LM,28-052,90,3,1,1,2,0,0,1,0.0,1,1,0,1,0,3,0,0
Bruno Guimarães,39,br BRA,CM,26-324,90,3,2,2,0,1,2,2,100.0,0,0,0,0,2,5,0,0
Sandro Tonali,8,it ITA,RM,24-150,70,1,0,0,1,0,0,2,0.0,2,2,0,2,1,2,0,0
Sean Longstaff,36,eng ENG,RM,26-341,20,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
Lewis Hall,20,eng ENG,LB,20-027,90,2,1,1,0,1,2,3,66.7,1,3,0,3,1,3,2,0
Dan Burn,33,eng ENG,CB,32-149,90,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,3,0
Fabian Schär,5,ch SUI,CB,32-290,90,2,0,1,1,0,0,0,,0,0,0,0,1,3,0,0
Kieran Trippier,2,eng ENG,RB,34-016,70,3,2,1,1,1,2,7,28.6,5,1,1,0,0,3,1,0
Valentino Livramento,21,eng ENG,RB,21-328,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Nick Pope,22,eng ENG,GK,32-169,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
