Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alexander Isak,14,se SWE,FW,24-346,90,1,1,0,0,1,1,3,33.3,2,2,0,2,0,1,1,0
Harvey Barnes,11,eng ENG,LW,26-267,60,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,1,0
Jacob Murphy,23,eng ENG,RW,29-190,30,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Anthony Gordon,10,eng ENG,"RW,LW",23-190,89,3,1,3,0,0,3,4,75.0,1,2,0,2,1,4,0,0
Miguel Almirón,24,py PAR,LW,30-204,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Joelinton,7,br BRA,LM,28-018,90,2,0,1,0,1,0,2,0.0,2,4,0,4,0,2,1,0
Bruno Guimarães,39,br BRA,CM,26-290,90,1,0,1,0,0,0,2,0.0,2,1,0,1,3,4,2,0
Sean Longstaff,36,eng ENG,RM,26-307,67,6,4,1,3,2,6,6,100.0,0,2,1,1,3,9,1,0
Sandro Tonali,8,it ITA,RM,24-116,23,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,1,0
Lloyd Kelly,25,eng ENG,LB,25-331,67,0,0,0,0,0,0,0,,0,1,0,1,1,1,5,0
Lewis Hall,20,eng ENG,LB,19-359,23,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
Dan Burn,33,eng ENG,CB,32-115,90,1,0,1,0,0,1,2,50.0,1,3,2,1,2,3,7,1
Emil Krafth,17,se SWE,CB,30-030,90,1,0,0,0,1,1,2,50.0,1,2,2,0,0,1,3,0
Valentino Livramento,21,eng ENG,RB,21-294,90,0,0,0,0,0,0,0,,0,4,1,3,2,2,8,0
Nick Pope,22,eng ENG,GK,32-135,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
