Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Alexander Isak,14,se SWE,FW,24-346,90,0,0,0,1,0,1,0,0,1,0,0,0,1,1,5,16.7
Harvey Barnes,11,eng ENG,LW,26-267,60,0,0,0,0,1,0,0,1,1,0,0,0,2,0,1,0.0
Jacob Murphy,23,eng ENG,RW,29-190,30,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,
Anthony Gordon,10,eng ENG,"RW,LW",23-190,89,0,0,0,2,2,0,9,1,1,0,0,0,5,0,0,
Miguel Almirón,24,py PAR,LW,30-204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joelinton,7,br BRA,LM,28-018,90,1,0,0,5,1,1,1,0,0,0,0,0,5,1,2,33.3
Bruno Guimarães,39,br BRA,CM,26-290,90,1,0,0,3,4,0,0,3,0,0,0,0,8,0,0,
Sean Longstaff,36,eng ENG,RM,26-307,67,1,0,0,2,1,0,0,3,4,0,0,0,3,2,0,100.0
Sandro Tonali,8,it ITA,RM,24-116,23,0,0,0,1,1,0,0,1,1,0,0,0,2,0,0,
Lloyd Kelly,25,eng ENG,LB,25-331,67,1,0,0,1,2,0,1,1,0,0,0,0,4,1,1,50.0
Lewis Hall,20,eng ENG,LB,19-359,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
Dan Burn,33,eng ENG,CB,32-115,90,0,0,0,0,0,0,0,2,0,0,0,1,1,2,1,66.7
Emil Krafth,17,se SWE,CB,30-030,90,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,50.0
Valentino Livramento,21,eng ENG,RB,21-294,90,0,0,0,0,1,0,0,2,0,0,0,0,3,1,0,100.0
Nick Pope,22,eng ENG,GK,32-135,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
