Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Anthony Gordon,10,eng ENG,FW,23-217,90,21,19,2,0,0,0,4,0,0,0,0,0,17,0,0
Harvey Barnes,11,eng ENG,LW,26-294,75,16,16,0,0,1,0,0,0,0,0,0,0,13,0,0
Joe Willock,28,eng ENG,LW,25-039,15,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Jacob Murphy,23,eng ENG,RW,29-217,90,27,27,0,0,0,1,1,0,0,0,0,0,21,0,0
Joelinton,7,br BRA,LM,28-045,90,31,30,1,0,0,0,0,1,0,0,0,0,27,0,0
Bruno Guimarães,39,br BRA,CM,26-317,90,45,44,1,0,2,0,1,1,0,0,0,0,37,0,3
Sandro Tonali,8,it ITA,RM,24-143,76,19,18,1,0,0,0,3,0,1,1,0,0,13,0,0
Sean Longstaff,36,eng ENG,RM,26-334,14,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
Lewis Hall,20,eng ENG,LB,20-020,90,47,40,7,2,0,0,4,3,2,2,0,0,31,0,1
Dan Burn,33,eng ENG,CB,32-142,90,22,22,0,0,0,0,0,0,0,0,0,0,19,0,0
Fabian Schär,5,ch SUI,CB,32-283,90,51,49,1,1,0,1,0,0,0,0,0,0,35,1,0
Kieran Trippier,2,eng ENG,RB,34-009,77,54,39,15,4,0,0,3,9,2,2,0,0,46,0,1
Valentino Livramento,21,eng ENG,RB,21-321,13,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Nick Pope,22,eng ENG,GK,32-162,90,26,16,10,2,0,0,0,0,0,0,0,0,18,0,0
