Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Taiwo Awoniyi,9,ng NGA,FW,27-232,85,16,16,0,0,0,0,1,0,0,0,0,0,10,0,1
Ibrahim Sangaré,6,ci CIV,CM,27-120,5,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Danilo,28,br BRA,LW,23-337,39,15,15,0,0,0,0,0,0,0,0,0,0,12,0,1
Morato,4,br BRA,CB,23-275,51,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
Anthony Elanga,21,se SWE,RW,22-339,85,28,23,4,1,0,0,3,0,3,1,1,0,19,1,1
Ramón Sosa,24,py PAR,"FW,RW",25-213,5,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Morgan Gibbs-White,10,eng ENG,"AM,LW",25-064,90,45,44,1,0,0,0,1,0,0,0,0,0,35,0,0
Elliot Anderson,8,eng ENG,"DM,CM",22-146,65,40,40,0,0,0,0,0,0,0,0,0,0,31,0,2
Nicolás Domínguez,16,ar ARG,"CM,AM",26-277,25,14,14,0,0,1,0,0,0,0,0,0,0,10,0,1
Ryan Yates,22,eng ENG,"CM,DM",27-131,90,23,23,0,0,0,0,0,0,0,0,0,0,15,0,1
Neco Williams,7,wls WAL,"RM,LB,WB",23-353,90,33,24,9,1,0,0,4,8,0,0,0,0,25,0,1
Murillo,5,br BRA,CB,22-271,90,25,20,5,5,0,0,1,0,0,0,0,0,22,0,0
Nikola Milenković,31,rs SRB,CB,27-171,90,18,17,1,1,0,0,0,0,0,0,0,0,14,0,1
Ola Aina,34,ng NGA,RB,28-175,38,13,11,2,0,0,0,0,2,0,0,0,0,11,0,0
Álex Moreno,19,es ESP,"LM,WB",31-297,52,19,15,4,0,0,0,1,4,0,0,0,0,16,0,0
Matz Sels,26,be BEL,GK,33-034,90,32,16,16,5,0,0,0,0,0,0,0,0,9,0,0
