Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Chris Wood,11,nz NZL,FW,33-126,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Callum Hudson-Odoi,14,eng ENG,LW,24-156,90,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0
Jota Silva,20,pt POR,RW,25-254,58,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,1,0
Anthony Elanga,21,se SWE,RW,22-350,32,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Morgan Gibbs-White,10,eng ENG,AM,25-075,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0
Elliot Anderson,8,eng ENG,DM,22-157,90,4,1,3,0,1,1,1,100.0,0,2,0,2,1,5,3,0
Nicolás Domínguez,16,ar ARG,DM,26-288,74,2,2,1,1,0,0,1,0.0,1,4,1,3,1,3,2,0
Ryan Yates,22,eng ENG,DM,27-142,16,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0
Álex Moreno,19,es ESP,LB,31-308,90,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,6,0
Murillo,5,br BRA,CB,22-282,90,0,0,0,0,0,0,2,0.0,2,1,1,0,0,0,12,1
Nikola Milenković,31,rs SRB,CB,27-182,90,3,2,3,0,0,2,2,100.0,0,0,0,0,2,5,5,0
Neco Williams,7,wls WAL,RB,23-364,90,2,1,0,2,0,2,2,100.0,0,2,1,1,0,2,7,0
Matz Sels,26,be BEL,GK,33-045,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
