Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Chris Wood,11,nz NZL,FW,32-254,71,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Taiwo Awoniyi,9,ng NGA,FW,27-005,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Callum Hudson-Odoi,14,eng ENG,LW,23-284,71,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Elliot Anderson,8,eng ENG,LW,21-285,19,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,0
Anthony Elanga,21,se SWE,RW,22-112,53,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Nicolás Domínguez,16,ar ARG,RW,26-050,37,2,1,0,1,1,1,3,33.3,2,0,0,0,0,2,0,0
Morgan Gibbs-White,10,eng ENG,AM,24-203,90,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,0
Danilo,28,br BRA,DM,23-110,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ryan Yates,22,eng ENG,DM,26-270,76,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0
Ibrahim Sangaré,6,ci CIV,DM,26-259,90,5,3,1,4,0,2,2,100.0,0,2,0,2,1,6,0,0
Ola Aina,34,ng NGA,LB,27-314,53,2,2,1,1,0,1,1,100.0,0,1,0,1,1,3,2,0
Harry Toffolo,15,eng ENG,LB,28-364,37,2,0,1,0,1,0,0,,0,0,0,0,0,2,3,0
Murillo,5,br BRA,CB,22-044,90,1,1,1,0,0,0,1,0.0,1,2,2,0,0,1,6,0
Willy Boly,30,ci CIV,CB,33-196,90,4,0,3,1,0,3,3,100.0,0,3,1,2,1,5,8,0
Neco Williams,7,wls WAL,RB,23-126,90,5,3,3,2,0,2,4,50.0,2,2,0,2,2,7,3,0
Matz Sels,26,be BEL,GK,32-173,90,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
