Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Chris Wood,11,nz NZL,FW,32-261,75,18,0,1,7,10,4,18,0,0,,0,,13,116,6,0,1,0,1,0,15,2
Taiwo Awoniyi,9,ng NGA,FW,27-012,15,7,1,1,4,3,1,7,0,0,,0,,5,37,32,1,1,0,2,0,5,0
Callum Hudson-Odoi,14,eng ENG,LW,23-291,89,42,1,1,14,27,3,42,1,1,100.0,0,0.0,27,235,161,7,3,3,0,1,35,10
Willy Boly,30,ci CIV,CB,33-203,1,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Anthony Elanga,21,se SWE,"RW,LM",22-119,90,44,1,4,13,30,6,44,8,1,12.5,6,75.0,24,266,139,2,3,4,4,0,24,7
Morgan Gibbs-White,10,eng ENG,AM,24-210,89,48,0,2,26,20,6,48,6,4,66.7,2,33.3,31,252,114,3,2,1,0,2,36,2
Jota Silva,20,pt POR,RM,25-023,1,2,1,2,0,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Elliot Anderson,8,eng ENG,DM,21-292,74,50,2,11,24,17,3,50,0,0,,0,,29,132,63,3,1,2,1,2,28,2
Nicolás Domínguez,16,ar ARG,"DM,CM",26-057,16,14,3,5,8,1,0,14,1,0,0.0,1,100.0,3,10,4,0,0,0,0,0,4,0
Ibrahim Sangaré,6,ci CIV,DM,26-266,65,44,2,10,26,8,2,44,0,0,,0,,26,102,22,0,0,0,0,1,28,0
Ryan Yates,22,eng ENG,"DM,CM",26-277,25,21,2,8,10,3,0,21,0,0,,0,,9,18,6,0,0,0,1,0,11,0
Ola Aina,34,ng NGA,LB,27-321,90,68,4,21,34,15,1,68,3,1,33.3,1,33.3,36,231,122,3,5,2,0,0,38,3
Murillo,5,br BRA,CB,22-051,90,41,4,17,21,3,2,41,1,0,0.0,1,100.0,19,111,46,0,1,0,0,1,24,0
Nikola Milenković,31,rs SRB,CB,26-317,90,41,6,17,20,5,3,41,0,0,,0,,22,77,37,0,0,0,0,0,21,0
Neco Williams,7,wls WAL,RB,23-133,90,44,7,14,16,14,2,44,0,0,,0,,26,116,55,4,1,1,0,0,24,3
Matz Sels,26,be BEL,GK,32-180,90,18,10,17,1,0,0,18,0,0,,0,,10,89,66,0,0,0,0,0,10,0
