Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Chris Wood,11,nz NZL,FW,32-363,61,9,0,0,4,5,3,9,0,0,,0,,3,16,16,1,0,0,1,0,5,0
Taiwo Awoniyi,9,ng NGA,FW,27-114,29,5,0,0,2,3,0,5,0,0,,0,,5,15,3,0,0,0,1,1,5,0
Jota Silva,20,pt POR,"LW,RW",25-125,71,21,1,7,4,11,0,21,1,0,0.0,1,100.0,12,64,42,2,1,0,0,1,12,4
Ramón Sosa,24,py PAR,RW,25-095,19,2,0,1,0,1,0,2,0,0,,0,,1,6,0,0,0,0,0,0,0,0
Anthony Elanga,21,se SWE,"LW,RW",22-221,90,37,4,6,8,24,4,37,2,1,50.0,0,0.0,26,219,99,3,3,1,3,2,23,6
Morgan Gibbs-White,10,eng ENG,"AM,CM",24-312,62,42,1,5,23,16,2,42,2,1,50.0,1,50.0,27,216,129,3,2,0,1,2,30,3
Elliot Anderson,8,eng ENG,CM,22-028,28,18,1,4,9,7,0,18,0,0,,0,,12,83,55,1,2,0,0,0,12,0
Nicolás Domínguez,16,ar ARG,"CM,DM",26-159,90,53,2,7,30,16,1,53,0,0,,0,,22,59,20,0,1,0,1,1,32,1
Ryan Yates,22,eng ENG,DM,27-013,45,21,2,5,13,4,0,21,2,1,50.0,1,50.0,11,66,3,0,1,0,0,3,7,0
Morato,4,br BRA,CB,23-157,45,25,7,11,10,4,0,25,0,0,,0,,13,51,25,0,1,0,1,0,15,0
Álex Moreno,19,es ESP,"LM,LB",31-179,90,44,3,13,19,13,1,44,5,2,40.0,1,20.0,19,143,93,3,2,0,1,1,27,4
Murillo,5,br BRA,CB,22-153,90,48,12,25,23,2,0,48,0,0,,0,,27,146,101,2,2,0,0,0,28,0
Nikola Milenković,31,rs SRB,CB,27-053,90,24,5,14,7,3,3,24,0,0,,0,,9,24,8,0,0,0,1,0,14,0
Ola Aina,34,ng NGA,"RB,RM",28-057,62,34,3,13,11,10,1,34,0,0,,0,,15,70,41,1,1,0,1,0,15,3
Eric da Silva Moreira,17,de GER,RM,18-215,28,13,3,7,4,2,0,13,1,0,0.0,1,100.0,4,26,11,1,0,0,1,0,3,1
Matz Sels,26,be BEL,GK,32-282,90,31,22,30,1,0,0,31,0,0,,0,,15,99,64,0,0,0,0,0,14,0
