Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Chris Wood,11,nz NZL,FW,33-078,90,0,0,0,1,0,0,0,0,0,0,0,0,3,4,8,33.3
Callum Hudson-Odoi,14,eng ENG,"RW,LW",24-108,90,0,0,0,0,2,0,1,0,0,0,0,0,6,0,0,
Anthony Elanga,21,se SWE,"LW,RW",22-302,90,0,0,0,1,1,0,7,0,2,0,0,0,1,0,2,0.0
Morgan Gibbs-White,10,eng ENG,AM,25-027,90,0,0,0,1,0,0,5,1,0,0,0,0,4,1,0,100.0
Elliot Anderson,8,eng ENG,DM,22-109,76,1,0,0,1,3,0,4,1,4,0,0,0,5,3,3,50.0
Ibrahim Sangaré,6,ci CIV,DM,27-083,14,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0
Nicolás Domínguez,16,ar ARG,DM,26-240,76,1,0,0,2,1,0,0,0,4,0,0,0,6,1,1,50.0
Ryan Yates,22,eng ENG,DM,27-094,14,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,50.0
Neco Williams,7,wls WAL,LB,23-316,90,0,0,0,0,0,0,1,1,2,0,0,0,1,1,2,33.3
Murillo,5,br BRA,CB,22-234,90,0,0,0,0,0,0,1,0,2,0,0,0,10,0,0,
Nikola Milenković,31,rs SRB,CB,27-134,90,1,0,0,1,0,0,0,0,2,0,0,0,5,3,1,75.0
Ola Aina,34,ng NGA,RB,28-138,90,0,0,0,4,2,0,1,0,3,0,1,0,8,0,0,
Matz Sels,26,be BEL,GK,32-363,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
