Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Chris Wood,11,nz NZL,FW,33-038,89,19,0,1,12,6,2,19,1,0,0.0,1,100.0,5,19,13,0,0,0,0,0,15,1
Taiwo Awoniyi,9,ng NGA,FW,27-155,1,4,0,0,4,0,0,4,0,0,,0,,2,9,0,0,0,0,1,1,3,0
Callum Hudson-Odoi,14,eng ENG,LW,24-068,82,34,1,8,11,18,2,34,1,1,100.0,0,0.0,13,161,137,5,3,2,2,0,19,2
Jota Silva,20,pt POR,"RM,RW,LW",25-166,8,5,1,2,1,2,1,5,0,0,,0,,0,0,0,0,0,0,1,0,0,0
Anthony Elanga,21,se SWE,"RW,LM,LW",22-262,90,40,2,11,13,16,4,40,4,2,50.0,1,25.0,21,243,143,8,2,4,4,1,26,6
Morgan Gibbs-White,10,eng ENG,AM,24-353,89,35,0,7,15,15,2,35,3,0,0.0,1,33.3,17,91,46,2,0,2,3,0,30,2
Morato,4,br BRA,"CB,AM",23-198,1,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Elliot Anderson,8,eng ENG,"DM,CM",22-069,90,48,8,26,14,9,1,48,2,2,100.0,0,0.0,15,117,59,1,0,0,4,0,13,1
Ryan Yates,22,eng ENG,DM,27-054,75,31,2,13,15,4,0,31,1,0,0.0,0,0.0,10,48,33,0,0,0,1,0,15,0
Nicolás Domínguez,16,ar ARG,"DM,CM",26-200,15,8,1,4,4,0,0,8,0,0,,0,,1,6,6,0,0,0,0,0,2,1
Neco Williams,7,wls WAL,LB,23-276,89,46,14,26,12,8,0,46,3,0,0.0,3,100.0,7,29,14,1,0,0,0,0,7,0
Álex Moreno,19,es ESP,LB,31-220,1,3,1,2,1,0,0,3,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Murillo,5,br BRA,CB,22-194,90,55,21,36,19,1,0,55,1,1,100.0,0,0.0,8,51,35,0,0,0,1,0,8,0
Nikola Milenković,31,rs SRB,CB,27-094,90,33,17,23,5,5,3,33,0,0,,0,,4,27,24,0,0,0,0,0,10,0
Ola Aina,34,ng NGA,RB,28-098,90,39,6,21,10,8,0,39,2,0,0.0,1,50.0,8,42,14,1,0,0,0,1,13,2
Matz Sels,26,be BEL,GK,32-323,90,27,20,26,1,0,0,27,0,0,,0,,8,36,14,0,0,0,0,0,4,0
