Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Chris Wood,11,nz NZL,FW,33-049,90,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0
Anthony Elanga,21,se SWE,"LW,LM",22-273,90,1,0,0,0,1,1,2,50.0,1,0,0,0,0,1,0,0
Jota Silva,20,pt POR,RW,25-177,66,4,3,3,1,0,0,1,0.0,1,3,0,3,0,4,3,0
Morato,4,br BRA,CB,23-209,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Morgan Gibbs-White,10,eng ENG,"AM,RM",24-364,78,1,1,1,0,0,1,1,100.0,0,1,0,1,1,2,1,0
Taiwo Awoniyi,9,ng NGA,RM,27-166,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Elliot Anderson,8,eng ENG,"DM,CM",22-080,90,1,0,0,1,0,0,2,0.0,2,2,0,2,0,1,0,0
Ryan Yates,22,eng ENG,DM,27-065,45,1,0,1,0,0,0,1,0.0,1,2,1,1,0,1,3,0
Nicolás Domínguez,16,ar ARG,"CM,DM",26-211,45,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,1
Neco Williams,7,wls WAL,LB,23-287,66,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,3,0
Álex Moreno,19,es ESP,LB,31-231,24,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0
Murillo,5,br BRA,CB,22-205,90,1,0,1,0,0,0,1,0.0,1,0,0,0,2,3,2,0
Nikola Milenković,31,rs SRB,CB,27-105,90,1,1,1,0,0,1,2,50.0,1,1,1,0,0,1,5,0
Ola Aina,34,ng NGA,RB,28-109,78,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,0
Ramón Sosa,24,py PAR,RB,25-147,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Matz Sels,26,be BEL,GK,32-334,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
