Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Chris Wood,11,nz NZL,FW,33-049,90,18,18,0,0,0,0,0,0,0,0,0,0,12,0,0
Anthony Elanga,21,se SWE,"LW,LM",22-273,90,33,23,10,1,0,0,10,0,7,6,1,0,20,0,3
Jota Silva,20,pt POR,RW,25-177,66,10,10,0,0,0,0,2,0,0,0,0,0,5,0,1
Morato,4,br BRA,CB,23-209,24,10,9,1,1,0,0,0,0,0,0,0,0,8,0,0
Morgan Gibbs-White,10,eng ENG,"AM,RM",24-364,78,46,45,0,0,1,0,4,0,0,0,0,0,34,1,1
Taiwo Awoniyi,9,ng NGA,RM,27-166,12,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Elliot Anderson,8,eng ENG,"DM,CM",22-080,90,49,46,3,1,1,0,3,0,2,0,2,0,38,0,3
Ryan Yates,22,eng ENG,DM,27-065,45,21,19,2,0,0,0,0,0,0,0,0,0,14,0,1
Nicolás Domínguez,16,ar ARG,"CM,DM",26-211,45,28,24,4,1,1,0,0,1,0,0,0,0,24,0,0
Neco Williams,7,wls WAL,LB,23-287,66,17,11,6,0,0,0,0,6,0,0,0,0,12,0,0
Álex Moreno,19,es ESP,LB,31-231,24,16,12,3,0,0,0,2,3,0,0,0,0,13,1,0
Murillo,5,br BRA,CB,22-205,90,35,31,4,2,1,0,0,1,0,0,0,0,25,0,0
Nikola Milenković,31,rs SRB,CB,27-105,90,35,34,1,1,0,0,0,0,0,0,0,0,28,0,1
Ola Aina,34,ng NGA,RB,28-109,78,33,25,8,0,0,0,2,8,0,0,0,0,22,0,2
Ramón Sosa,24,py PAR,RB,25-147,12,7,6,1,0,0,0,0,1,0,0,0,0,3,0,0
Matz Sels,26,be BEL,GK,32-334,90,24,18,6,2,0,0,0,0,0,0,0,0,16,0,0
