Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Chris Wood,11,nz NZL,FW,32-339,90,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0
Callum Hudson-Odoi,14,eng ENG,LW,24-003,58,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
Jota Silva,20,pt POR,"RW,RM",25-101,32,2,1,0,2,0,1,1,100.0,0,1,0,1,1,3,1,0
Anthony Elanga,21,se SWE,"RW,LW,AM",22-197,87,4,2,3,1,0,1,1,100.0,0,0,0,0,0,4,1,0
Taiwo Awoniyi,9,ng NGA,"FW,AM",27-090,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Morgan Gibbs-White,10,eng ENG,AM,24-288,58,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,0,0
Elliot Anderson,8,eng ENG,"AM,DM,CM",22-004,32,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0
Nicolás Domínguez,16,ar ARG,DM,26-135,73,3,3,2,0,1,2,2,100.0,0,2,1,1,1,4,2,0
Ramón Sosa,24,py PAR,"LW,LB",25-071,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ryan Yates,22,eng ENG,"DM,CM",26-355,90,4,3,2,2,0,1,2,50.0,1,0,0,0,0,4,2,0
Álex Moreno,19,es ESP,LB,31-155,87,4,2,3,1,0,0,0,,0,1,1,0,3,7,5,0
James Ward-Prowse,18,eng ENG,"LM,LB",30-009,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Murillo,5,br BRA,CB,22-129,90,4,3,3,0,1,3,3,100.0,0,1,1,0,1,5,9,0
Nikola Milenković,31,rs SRB,CB,27-029,90,3,1,2,1,0,0,0,,0,1,0,1,0,3,5,0
Ola Aina,34,ng NGA,RB,28-033,90,2,2,1,1,0,2,2,100.0,0,1,0,1,1,3,0,0
Matz Sels,26,be BEL,GK,32-258,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
