Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Chris Wood,11,nz NZL,FW,32-359,90,19,1,2,6,12,5,18,1,0,0.0,1,100.0,7,34,20,1,1,0,2,0,10,3
Callum Hudson-Odoi,14,eng ENG,LW,24-023,87,36,0,0,10,27,1,36,5,2,40.0,3,60.0,29,229,133,4,4,0,0,0,27,9
Ramón Sosa,24,py PAR,LW,25-091,3,2,0,1,0,1,1,2,0,0,,0,,1,10,9,1,0,1,0,0,0,0
Jota Silva,20,pt POR,RW,25-121,77,26,1,7,5,16,6,26,2,1,50.0,0,0.0,11,112,80,2,0,0,3,1,14,1
Anthony Elanga,21,se SWE,RW,22-217,13,5,0,1,2,3,0,5,0,0,,0,,1,4,0,0,0,0,2,0,3,0
Morgan Gibbs-White,10,eng ENG,AM,24-308,77,43,2,3,15,26,4,43,3,2,66.7,1,33.3,34,236,171,5,4,1,2,3,36,3
Morato,4,br BRA,CB,23-153,13,2,1,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Ryan Yates,22,eng ENG,"DM,CM",27-009,90,41,0,10,22,9,2,41,1,1,100.0,0,0.0,16,66,16,0,0,0,0,1,22,1
Elliot Anderson,8,eng ENG,DM,22-024,70,51,1,6,21,26,3,51,3,1,33.3,1,33.3,29,135,63,1,1,1,4,0,30,4
Nicolás Domínguez,16,ar ARG,"CM,DM",26-155,20,14,1,3,8,3,0,14,0,0,,0,,5,16,6,0,0,0,0,1,5,0
Neco Williams,7,wls WAL,LB,23-231,77,43,2,11,15,17,0,43,2,0,0.0,1,50.0,25,164,95,3,0,0,0,1,26,2
Álex Moreno,19,es ESP,"LM,LB",31-175,13,11,1,3,5,3,0,11,0,0,,0,,3,3,0,0,0,0,0,0,3,0
Murillo,5,br BRA,CB,22-149,90,59,11,32,25,3,2,59,0,0,,0,,30,125,61,0,0,0,0,0,33,0
Nikola Milenković,31,rs SRB,CB,27-049,90,39,5,19,19,1,1,39,0,0,,0,,18,78,20,0,0,0,0,0,17,0
Ola Aina,34,ng NGA,"RB,RM",28-053,90,60,6,20,29,11,0,60,3,0,0.0,2,66.7,25,126,32,0,1,0,0,0,23,3
Matz Sels,26,be BEL,GK,32-278,90,17,12,17,0,0,0,17,0,0,,0,,13,118,43,0,0,0,0,0,8,0
