Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Chris Wood,11,nz NZL,FW,32-319,83,14,14,0,0,0,0,0,0,0,0,0,0,8,0,0
Taiwo Awoniyi,9,ng NGA,FW,27-070,7,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Callum Hudson-Odoi,14,eng ENG,LW,23-349,83,33,32,1,0,0,0,3,0,0,0,0,0,29,0,2
Ramón Sosa,24,py PAR,LW,25-051,7,5,5,0,0,0,0,0,0,0,0,0,0,4,0,1
Anthony Elanga,21,se SWE,RW,22-177,62,29,25,4,1,0,0,7,0,3,3,0,0,19,0,1
Jota Silva,20,pt POR,RW,25-081,28,5,5,0,0,0,0,0,0,0,0,0,0,1,0,1
Elliot Anderson,8,eng ENG,AM,21-350,77,43,39,4,1,1,0,5,0,3,1,2,0,39,0,0
Neco Williams,7,wls WAL,LM,23-191,13,13,10,3,0,0,0,2,3,0,0,0,0,10,0,0
Nicolás Domínguez,16,ar ARG,"DM,CM",26-115,90,62,59,3,3,0,0,1,0,0,0,0,0,56,0,1
Ryan Yates,22,eng ENG,"DM,CM",26-335,90,34,32,2,2,0,0,0,0,0,0,0,0,26,0,2
Álex Moreno,19,es ESP,LB,31-135,77,51,45,6,1,0,1,3,5,0,0,0,0,38,0,1
Morato,4,br BRA,CB,23-113,13,8,8,0,0,0,0,0,0,0,0,0,0,5,0,2
Murillo,5,br BRA,CB,22-109,90,66,56,10,4,0,2,0,0,0,0,0,0,56,0,0
Nikola Milenković,31,rs SRB,CB,27-009,90,44,43,0,0,0,0,0,0,0,0,0,0,35,1,0
Ola Aina,34,ng NGA,"RB,RM",28-013,90,51,38,13,0,0,0,2,13,0,0,0,0,38,0,3
Matz Sels,26,be BEL,GK,32-238,90,31,25,5,2,0,0,0,0,0,0,0,0,24,1,0
