Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Chris Wood,11,nz NZL,FW,32-319,83,22,1,1,11,10,4,22,0,0,,0,,8,33,12,0,0,0,3,0,16,3
Taiwo Awoniyi,9,ng NGA,FW,27-070,7,6,0,1,2,3,2,6,1,0,0.0,1,100.0,3,19,17,1,0,1,0,0,2,0
Callum Hudson-Odoi,14,eng ENG,LW,23-349,83,38,1,2,16,22,3,38,3,2,66.7,0,0.0,17,138,74,4,1,1,1,2,29,11
Ramón Sosa,24,py PAR,LW,25-051,7,9,0,1,0,8,2,9,1,1,100.0,0,0.0,4,34,1,0,0,0,2,0,7,1
Anthony Elanga,21,se SWE,RW,22-177,62,35,2,3,5,27,1,35,2,0,0.0,2,100.0,17,93,30,1,2,0,2,1,24,6
Jota Silva,20,pt POR,RW,25-081,28,14,0,4,3,7,5,14,3,1,33.3,2,66.7,7,57,33,1,1,2,1,2,7,2
Elliot Anderson,8,eng ENG,AM,21-350,77,59,1,5,30,25,4,59,6,6,100.0,0,0.0,26,152,92,4,0,1,3,2,37,3
Neco Williams,7,wls WAL,LM,23-191,13,16,1,1,2,13,1,16,1,1,100.0,0,0.0,9,24,12,1,0,1,0,0,11,2
Nicolás Domínguez,16,ar ARG,"DM,CM",26-115,90,75,0,16,43,16,1,75,0,0,,0,,30,145,78,4,1,0,1,2,46,1
Ryan Yates,22,eng ENG,"DM,CM",26-335,90,55,3,13,24,18,3,55,0,0,,0,,26,100,22,0,1,0,3,4,32,1
Álex Moreno,19,es ESP,LB,31-135,77,62,4,16,34,13,0,62,2,1,50.0,1,50.0,32,243,149,4,2,0,0,1,42,4
Morato,4,br BRA,CB,23-113,13,8,0,2,0,6,0,8,0,0,,0,,4,10,5,0,1,0,0,0,6,0
Murillo,5,br BRA,CB,22-109,90,77,18,36,38,4,1,77,4,4,100.0,0,0.0,37,194,126,0,2,0,0,1,45,1
Nikola Milenković,31,rs SRB,CB,27-009,90,52,1,21,29,3,3,52,0,0,,0,,18,95,48,0,0,0,0,0,30,0
Ola Aina,34,ng NGA,"RB,RM",28-013,90,63,2,18,20,25,0,63,4,0,0.0,2,50.0,30,220,142,5,4,0,2,0,32,1
Matz Sels,26,be BEL,GK,32-238,90,34,24,33,1,0,0,34,0,0,,0,,22,122,82,0,0,0,0,0,19,0
