Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Chris Wood,11,nz NZL,FW,32-290,71,11,11,0,0,0,1,0,0,0,0,0,0,6,0,1
Morato,4,br BRA,"CB,FW",23-084,19,4,3,0,0,0,0,0,0,0,0,0,0,2,1,0
Anthony Elanga,21,se SWE,LW,22-148,45,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Jota Silva,20,pt POR,"RW,FW,AM,CM",25-052,45,7,6,0,0,0,0,1,0,0,0,0,0,4,1,0
Callum Hudson-Odoi,14,eng ENG,"RW,LW,LM",23-320,90,21,19,1,1,0,0,0,0,0,0,0,0,14,1,2
Morgan Gibbs-White,10,eng ENG,"AM,DM,CM",24-239,82,23,22,1,1,0,1,0,0,0,0,0,0,14,0,1
Elliot Anderson,8,eng ENG,DM,21-321,58,14,11,2,0,0,0,0,0,0,0,0,0,9,1,2
Ramón Sosa,24,py PAR,"RM,RW,DM",25-022,32,5,4,1,0,0,0,1,0,1,1,0,0,3,0,0
James Ward-Prowse,18,eng ENG,DM,29-326,45,17,15,2,1,0,0,0,0,0,0,0,0,13,0,1
Ryan Yates,22,eng ENG,"DM,CM",26-306,45,17,17,0,0,0,0,0,0,0,0,0,0,15,0,0
Álex Moreno,19,es ESP,LB,31-106,45,20,12,8,0,0,0,0,8,0,0,0,0,15,0,1
Neco Williams,7,wls WAL,RB,23-162,45,12,9,3,1,0,0,1,2,0,0,0,0,6,0,1
Murillo,5,br BRA,CB,22-080,90,36,30,6,4,1,1,0,0,0,0,0,0,26,0,2
Nikola Milenković,31,rs SRB,CB,26-346,90,23,22,1,1,0,0,0,0,0,0,0,0,23,0,0
Ola Aina,34,ng NGA,"LB,RB",27-350,90,28,22,6,0,0,0,1,6,0,0,0,0,18,0,1
Matz Sels,26,be BEL,GK,32-209,90,27,15,12,2,0,0,0,0,0,0,0,0,9,0,0
