Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Chris Wood,11,nz NZL,FW,32-290,71,17,0,3,11,3,1,16,0,0,,0,,3,5,0,0,0,0,2,0,13,1
Morato,4,br BRA,"CB,FW",23-084,19,9,4,7,2,0,0,9,0,0,,0,,2,3,2,0,0,0,0,0,3,0
Anthony Elanga,21,se SWE,LW,22-148,45,12,1,3,2,7,0,12,1,0,0.0,1,100.0,2,9,0,0,0,0,2,0,5,1
Jota Silva,20,pt POR,"RW,FW,AM,CM",25-052,45,13,1,6,6,3,3,13,0,0,,0,,5,68,64,3,0,2,2,0,6,2
Callum Hudson-Odoi,14,eng ENG,"RW,LW,LM",23-320,90,28,1,9,11,10,2,28,3,3,100.0,0,0.0,16,132,100,4,3,1,2,1,14,3
Morgan Gibbs-White,10,eng ENG,"AM,DM,CM",24-239,82,36,1,8,21,7,4,36,3,1,33.3,1,33.3,6,15,1,0,0,0,2,2,19,2
Elliot Anderson,8,eng ENG,DM,21-321,58,26,5,12,13,2,0,26,1,1,100.0,0,0.0,7,61,35,1,1,0,0,1,9,1
Ramón Sosa,24,py PAR,"RM,RW,DM",25-022,32,10,1,5,2,3,1,10,0,0,,0,,2,6,0,0,0,0,0,0,3,0
James Ward-Prowse,18,eng ENG,DM,29-326,45,19,1,5,13,1,0,19,0,0,,0,,7,17,3,0,0,0,0,1,10,0
Ryan Yates,22,eng ENG,"DM,CM",26-306,45,20,1,11,9,0,0,20,1,1,100.0,0,0.0,11,42,21,0,0,0,1,1,13,0
Álex Moreno,19,es ESP,LB,31-106,45,29,5,16,11,3,0,29,3,0,0.0,1,33.3,8,49,12,0,0,0,0,0,8,1
Neco Williams,7,wls WAL,RB,23-162,45,19,5,15,4,1,0,19,0,0,,0,,2,18,13,0,0,0,1,1,5,1
Murillo,5,br BRA,CB,22-080,90,55,21,38,17,0,0,55,2,2,100.0,0,0.0,14,42,34,0,0,0,0,0,26,0
Nikola Milenković,31,rs SRB,CB,26-346,90,36,11,24,12,0,0,36,0,0,,0,,12,49,31,0,1,0,0,0,20,0
Ola Aina,34,ng NGA,"LB,RB",27-350,90,41,7,28,11,2,0,41,0,0,,0,,12,72,14,0,0,0,0,2,17,1
Matz Sels,26,be BEL,GK,32-209,90,29,22,29,0,0,0,29,0,0,,0,,12,71,40,0,0,0,0,0,11,0
