Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Paul Onuachu,32,ng NGA,FW,30-319,45,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0
Tyler Dibling,33,eng ENG,"FW,RW",19-031,45,9,9,0,0,0,0,1,0,0,0,0,0,8,0,0
Kamaldeen Sulemana,20,gh GHA,LW,23-056,60,11,11,0,0,0,0,0,0,0,0,0,0,9,0,0
William Smallbone,8,ie IRL,CM,25-050,30,16,13,3,0,0,0,0,0,0,0,0,0,16,0,0
Cameron Archer,19,eng ENG,"RW,FW",23-265,60,10,9,1,0,0,0,0,0,0,0,0,0,9,0,0
Ross Stewart,11,sct SCO,FW,28-275,30,7,7,0,0,0,0,0,0,0,0,0,0,4,0,1
Ryan Manning,3,ie IRL,"LM,WB",28-302,81,37,35,2,1,0,0,5,1,0,0,0,0,26,0,0
Yukinari Sugawara,16,jp JPN,WB,24-288,9,7,6,1,0,0,0,3,0,1,0,1,0,3,0,1
Lesley Ugochukwu,26,fr FRA,CM,21-017,90,27,27,0,0,0,0,0,0,0,0,0,0,24,0,0
Mateus Fernandes,18,pt POR,CM,20-276,88,34,32,2,1,0,0,3,0,1,1,0,0,27,0,0
Jay Robinson,46,eng ENG,CM,18-028,2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Kyle Walker-Peters,2,eng ENG,"RM,WB",27-364,90,36,35,1,0,0,0,3,1,0,0,0,0,31,0,1
Jack Stephens,5,eng ENG,CB,31-075,90,57,55,2,0,0,1,0,2,0,0,0,0,51,0,0
Jan Bednarek,35,pl POL,CB,29-000,90,32,32,0,0,0,0,1,0,0,0,0,0,29,0,0
Taylor Harwood-Bellis,6,eng ENG,CB,23-072,90,48,46,2,0,0,0,0,2,0,0,0,0,42,0,0
Aaron Ramsdale,30,eng ENG,GK,26-333,90,41,28,13,2,0,0,0,0,0,0,0,0,35,0,0
