Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Ben Brereton,17,cl CHI,FW,25-121,69,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,1,0
Cameron Archer,19,eng ENG,FW,23-027,21,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Adam Armstrong,9,eng ENG,FW,27-189,90,2,0,0,1,1,0,0,,0,0,0,0,0,2,0,0
Joe Aribo,7,ng NGA,CM,28-027,69,2,1,0,0,2,1,1,100.0,0,0,0,0,1,3,2,0
Tyler Dibling,33,eng ENG,CM,18-158,21,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Flynn Downes,4,eng ENG,"CM,CB",25-210,90,2,1,1,1,0,1,1,100.0,0,1,1,0,0,2,2,0
William Smallbone,8,ie IRL,CM,24-178,90,2,2,1,1,0,1,1,100.0,0,1,0,1,0,2,0,0
Kyle Walker-Peters,2,eng ENG,WB,27-126,80,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0
Carlos Alcaraz,22,ar ARG,CM,21-261,10,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Yukinari Sugawara,16,jp JPN,WB,24-050,45,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Samuel Edozie,23,eng ENG,WB,21-202,45,2,0,0,0,2,1,1,100.0,0,0,0,0,0,2,0,0
Jack Stephens,5,eng ENG,CB,30-203,90,1,0,1,0,0,0,1,0.0,1,2,0,2,0,1,2,0
Jan Bednarek,35,pl POL,CB,28-127,80,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0
Samuel Amo-Ameyaw,27,eng ENG,WB,18-030,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Taylor Harwood-Bellis,6,eng ENG,CB,22-200,90,1,1,1,0,0,0,0,,0,1,1,0,0,1,2,0
Alex McCarthy,1,eng ENG,GK,34-258,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
