Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Ben Brereton,17,cl CHI,FW,25-121,69,26,26,0,0,0,0,1,0,0,0,0,0,20,0,1
Cameron Archer,19,eng ENG,FW,23-027,21,4,4,0,0,0,0,1,0,0,0,0,0,2,0,0
Adam Armstrong,9,eng ENG,FW,27-189,90,25,23,2,0,0,1,1,1,0,0,0,0,20,0,3
Joe Aribo,7,ng NGA,CM,28-027,69,40,39,0,0,0,0,2,0,0,0,0,0,33,1,2
Tyler Dibling,33,eng ENG,CM,18-158,21,15,13,2,1,0,0,1,1,0,0,0,0,14,0,0
Flynn Downes,4,eng ENG,"CM,CB",25-210,90,90,86,4,4,0,0,1,0,0,0,0,0,83,0,1
William Smallbone,8,ie IRL,CM,24-178,90,63,47,15,3,0,0,12,2,9,5,2,0,45,1,2
Kyle Walker-Peters,2,eng ENG,WB,27-126,80,75,68,7,1,1,0,4,5,1,0,0,0,65,0,2
Carlos Alcaraz,22,ar ARG,CM,21-261,10,13,11,2,0,0,0,1,1,1,0,0,0,13,0,0
Yukinari Sugawara,16,jp JPN,WB,24-050,45,35,29,6,0,0,1,3,6,0,0,0,0,22,0,4
Samuel Edozie,23,eng ENG,WB,21-202,45,23,23,0,0,0,0,1,0,0,0,0,0,20,0,2
Jack Stephens,5,eng ENG,CB,30-203,90,91,89,2,1,0,0,0,1,0,0,0,0,85,0,0
Jan Bednarek,35,pl POL,CB,28-127,80,82,81,1,0,0,0,0,0,0,0,0,0,77,0,0
Samuel Amo-Ameyaw,27,eng ENG,WB,18-030,10,5,4,1,0,0,0,1,0,1,0,0,0,5,0,0
Taylor Harwood-Bellis,6,eng ENG,CB,22-200,90,93,89,4,3,0,0,1,1,0,0,0,0,82,0,0
Alex McCarthy,1,eng ENG,GK,34-258,90,22,18,4,2,0,1,0,0,0,0,0,0,18,0,0
