Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Ben Brereton,17,cl CHI,"FW,LW",25-128,90,38,37,1,0,0,0,2,1,0,0,0,0,32,0,0
Adam Armstrong,9,eng ENG,FW,27-196,70,25,24,1,0,0,0,0,1,0,0,0,0,22,0,1
Samuel Edozie,23,eng ENG,"WB,RW",21-209,20,10,10,0,0,0,0,3,0,0,0,0,0,5,0,0
Joe Aribo,7,ng NGA,"CM,LM",28-034,75,33,32,1,0,0,0,1,1,0,0,0,0,31,0,1
Charlie Taylor,21,eng ENG,"WB,LM",30-341,15,10,10,0,0,0,0,2,0,0,0,0,0,8,0,0
Flynn Downes,4,eng ENG,CM,25-217,90,56,52,4,4,0,0,0,0,0,0,0,0,52,0,0
William Smallbone,8,ie IRL,"CM,RM",24-185,83,38,33,5,0,0,0,3,0,3,1,2,0,28,0,0
Tyler Dibling,33,eng ENG,CM,18-165,7,6,5,1,1,0,0,0,0,0,0,0,0,4,0,0
Kyle Walker-Peters,2,eng ENG,"WB,CB,RB",27-133,90,68,60,8,2,0,0,1,5,1,0,0,0,62,0,1
Yukinari Sugawara,16,jp JPN,WB,24-057,70,46,41,5,1,0,0,2,4,0,0,0,0,35,0,2
Cameron Archer,19,eng ENG,FW,23-034,20,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
Jack Stephens,5,eng ENG,"CB,LB",30-210,90,99,97,2,1,0,0,0,1,0,0,0,0,94,0,0
Jan Bednarek,35,pl POL,CB,28-134,90,122,113,9,3,0,0,0,0,0,0,0,0,121,0,0
Taylor Harwood-Bellis,6,eng ENG,CB,22-207,75,92,89,3,2,0,0,0,0,0,0,0,0,81,0,0
Mateus Fernandes,18,pt POR,"CM,CB",20-045,15,12,11,1,1,0,0,0,0,0,0,0,0,11,0,0
Alex McCarthy,1,eng ENG,GK,34-265,90,31,29,2,0,0,0,0,0,0,0,0,0,28,0,0
