Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Cameron Archer,19,eng ENG,FW,23-136,72,26,1,4,10,12,4,26,2,0,0.0,1,50.0,16,115,65,2,1,1,3,2,21,4
Yukinari Sugawara,16,jp JPN,RM,24-159,18,5,0,3,1,1,0,5,1,1,100.0,0,0.0,2,27,7,0,0,0,0,0,4,0
Adam Armstrong,9,eng ENG,"FW,RM",27-298,61,15,0,1,10,4,2,15,1,1,100.0,0,0.0,8,48,17,1,0,1,0,0,12,3
Ben Brereton,17,cl CHI,"FW,RM",25-230,29,5,0,1,1,3,0,5,0,0,,0,,4,33,17,1,0,0,0,0,5,2
Ryan Fraser,24,sct SCO,"CM,LM",30-284,61,22,1,4,9,9,1,22,0,0,,0,,13,103,49,2,2,0,0,0,21,5
Kamaldeen Sulemana,20,gh GHA,LM,22-293,29,14,0,3,6,5,3,14,4,0,0.0,3,75.0,8,89,64,3,0,2,0,0,9,1
Mateus Fernandes,18,pt POR,CM,20-147,78,51,1,14,29,10,2,51,5,3,60.0,2,40.0,33,226,148,4,2,0,0,0,38,1
Charlie Taylor,21,eng ENG,LB,31-077,12,7,1,5,2,0,0,7,0,0,,0,,3,8,2,0,0,0,0,0,6,0
Joe Aribo,7,ng NGA,CM,28-136,90,53,3,15,27,12,5,53,3,2,66.7,1,33.3,29,118,42,0,2,0,2,0,38,4
Ryan Manning,3,ie IRL,"LB,CM",28-173,90,69,6,30,27,14,0,69,6,3,50.0,2,33.3,35,197,99,1,1,0,2,0,41,3
Kyle Walker-Peters,2,eng ENG,"RB,CB",27-235,90,65,11,26,19,21,3,65,6,3,50.0,3,50.0,36,264,171,2,2,0,0,1,40,4
Jack Stephens,5,eng ENG,CB,30-312,38,25,3,16,9,0,0,25,0,0,,0,,14,74,24,0,0,0,0,0,20,0
Nathan Wood-Gordon,15,eng ENG,CB,22-187,90,75,15,54,22,0,0,75,1,1,100.0,0,0.0,41,184,78,0,0,0,1,0,58,0
James Bree,14,eng ENG,"RB,CB",27-054,78,45,7,19,14,12,0,45,0,0,,0,,20,139,81,1,0,0,1,0,28,1
Ronnie Edwards,12,eng ENG,CB,21-251,12,6,3,4,2,0,0,6,0,0,,0,,3,10,0,0,0,0,0,0,5,0
Joe Lumley,13,eng ENG,GK,29-293,90,69,51,68,1,0,0,69,0,0,,0,,40,209,133,0,0,0,0,0,48,0
