Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Cameron Archer,19,eng ENG,FW,23-139,72,14,12,2,0,1,0,0,0,0,0,0,0,10,0,1
Samuel Amo-Ameyaw,27,eng ENG,"RW,FW",18-142,18,4,4,0,0,0,0,1,0,0,0,0,0,3,0,0
Adam Armstrong,9,eng ENG,"FW,LW,LB",27-301,90,16,16,0,0,0,0,0,0,0,0,0,0,13,0,0
Mateus Fernandes,18,pt POR,"CM,LM",20-150,90,38,33,5,4,0,0,3,0,1,1,0,0,31,0,1
Flynn Downes,4,eng ENG,CM,25-322,78,40,37,3,3,1,0,0,0,0,0,0,0,36,0,0
Ben Brereton,17,cl CHI,"LW,FW",25-233,12,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
Tyler Dibling,33,eng ENG,"CM,RW,RM",18-270,90,37,36,0,0,1,0,2,0,0,0,0,0,28,1,0
Ryan Manning,3,ie IRL,LB,28-176,89,49,37,11,3,0,0,2,8,0,0,0,0,44,1,1
Kamaldeen Sulemana,20,gh GHA,LW,22-296,1,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0
Kyle Walker-Peters,2,eng ENG,"RB,CB",27-238,90,57,53,4,1,0,0,2,3,0,0,0,0,56,0,0
Nathan Wood-Gordon,15,eng ENG,CB,22-190,90,74,69,5,1,0,0,0,0,0,0,0,0,71,0,0
Taylor Harwood-Bellis,6,eng ENG,CB,22-312,90,91,87,4,4,0,2,1,0,0,0,0,0,83,0,0
James Bree,14,eng ENG,RB,27-057,45,37,32,4,1,0,0,1,3,0,0,0,0,33,1,0
Joe Aribo,7,ng NGA,"RM,LM",28-139,45,22,21,1,1,0,0,0,0,0,0,0,0,19,0,1
Joe Lumley,13,eng ENG,GK,29-296,90,38,33,4,0,0,0,0,0,0,0,0,0,24,1,0
