Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Paul Onuachu,32,ng NGA,FW,30-273,58,1,0,0,2,1,0,0,0,0,0,0,0,0,5,3,62.5
Tyler Dibling,33,eng ENG,RM,18-350,32,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.0
Kamaldeen Sulemana,20,gh GHA,LM,23-010,90,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0.0
William Smallbone,8,ie IRL,CM,25-004,90,0,0,0,2,0,0,4,0,0,0,0,0,3,0,1,0.0
Flynn Downes,4,eng ENG,CM,26-036,82,0,0,0,2,0,0,0,4,1,0,0,0,4,0,1,0.0
Cameron Archer,19,eng ENG,FW,23-219,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mateus Fernandes,18,pt POR,"RM,FW,CM",20-230,90,0,0,0,0,3,0,0,2,0,0,0,0,6,0,0,
Kyle Walker-Peters,2,eng ENG,LB,27-318,58,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0.0
Ryan Manning,3,ie IRL,LB,28-256,32,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,
Joe Aribo,7,ng NGA,CB,28-219,90,0,0,0,0,0,0,1,0,1,0,0,0,7,1,2,33.3
Armel Bella Kotchap,37,de GER,CB,23-076,90,0,0,0,1,0,0,0,0,3,0,0,0,5,0,0,
James Bree,14,eng ENG,CB,27-137,45,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,
Taylor Harwood-Bellis,6,eng ENG,CB,23-026,45,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,100.0
Yukinari Sugawara,16,jp JPN,RB,24-242,88,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,100.0
Welington,34,br BRA,RB,24-006,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aaron Ramsdale,30,eng ENG,GK,26-287,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
