Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Kamaldeen Sulemana,20,gh GHA,"FW,AM",22-336,90,20,20,0,0,0,0,0,0,0,0,0,0,16,0,0
Tyler Dibling,33,eng ENG,FW,18-310,62,20,20,0,0,0,0,0,0,0,0,0,0,15,0,2
William Smallbone,8,ie IRL,"FW,CM",24-330,28,12,9,3,0,0,0,0,0,0,0,0,0,8,0,0
Mateus Fernandes,18,pt POR,AM,20-190,72,40,35,5,1,0,0,6,0,3,3,0,0,32,0,0
Adam Armstrong,9,eng ENG,AM,27-341,18,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Joe Aribo,7,ng NGA,CM,28-179,72,41,41,0,0,0,0,0,0,0,0,0,0,36,0,0
Flynn Downes,4,eng ENG,CM,25-362,18,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0
Lesley Ugochukwu,26,fr FRA,CM,20-296,82,41,41,0,0,0,0,0,0,0,0,0,0,37,0,0
Paul Onuachu,32,ng NGA,FW,30-233,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Walker-Peters,2,eng ENG,WB,27-278,90,36,31,5,0,0,0,0,5,0,0,0,0,30,0,2
Yukinari Sugawara,16,jp JPN,WB,24-202,90,36,29,7,0,0,0,2,6,1,0,1,0,28,0,1
Taylor Harwood-Bellis,6,eng ENG,CB,22-352,90,50,50,0,0,0,0,0,0,0,0,0,0,42,0,0
Jan Bednarek,35,pl POL,CB,28-279,82,37,36,1,1,0,0,0,0,0,0,0,0,36,0,0
Nathan Wood-Gordon,15,eng ENG,CB,22-230,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Bree,14,eng ENG,CB,27-097,90,48,45,3,2,0,0,0,1,0,0,0,0,33,0,1
Aaron Ramsdale,30,eng ENG,GK,26-247,90,36,25,11,4,0,0,0,0,0,0,0,0,17,0,0
