Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Adam Armstrong,9,eng ENG,FW,27-344,57,0,0,0,1,0,0,2,0,1,0,0,0,3,1,0,100.0
Paul Onuachu,32,ng NGA,FW,30-236,33,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,75.0
Cameron Archer,19,eng ENG,FW,23-182,57,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,50.0
Kamaldeen Sulemana,20,gh GHA,FW,22-339,33,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Mateus Fernandes,18,pt POR,AM,20-193,90,0,0,0,2,2,0,11,1,1,0,0,0,5,0,1,0.0
Joe Aribo,7,ng NGA,"CM,CB",28-182,90,1,0,0,2,0,0,0,0,0,0,0,0,4,2,6,25.0
Flynn Downes,4,eng ENG,CM,25-365,45,1,0,0,4,1,0,0,1,1,0,0,0,3,0,1,0.0
Lesley Ugochukwu,26,fr FRA,CM,20-299,45,1,0,0,2,0,0,1,0,1,0,0,0,2,1,1,50.0
Kyle Walker-Peters,2,eng ENG,WB,27-281,90,1,0,0,1,1,0,2,0,2,0,0,0,3,0,1,0.0
Yukinari Sugawara,16,jp JPN,WB,24-205,57,0,0,0,2,0,0,4,1,0,0,0,0,3,0,0,
Ryan Manning,3,ie IRL,WB,28-219,33,0,0,0,0,0,0,3,0,2,0,0,0,4,1,0,100.0
Taylor Harwood-Bellis,6,eng ENG,CB,22-355,90,0,0,0,0,0,0,0,1,0,0,0,0,3,4,2,66.7
Jan Bednarek,35,pl POL,CB,28-282,90,0,0,0,1,0,0,0,1,0,0,0,0,4,5,3,62.5
James Bree,14,eng ENG,CB,27-100,85,0,0,0,0,0,0,0,1,2,0,0,0,2,3,2,60.0
William Smallbone,8,ie IRL,CM,24-333,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Aaron Ramsdale,30,eng ENG,GK,26-250,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
