Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Adam Armstrong,9,eng ENG,FW,27-350,59,13,13,0,0,0,0,0,0,0,0,0,0,10,0,0
Cameron Archer,19,eng ENG,FW,23-188,31,7,7,0,0,0,0,0,0,0,0,0,0,4,0,1
Paul Onuachu,32,ng NGA,FW,30-242,90,22,22,0,0,0,0,0,0,0,0,0,0,17,0,1
Mateus Fernandes,18,pt POR,AM,20-199,90,50,39,11,4,0,1,3,1,2,1,1,0,41,0,0
Joe Aribo,7,ng NGA,CM,28-188,88,61,61,0,0,0,0,0,0,0,0,0,0,58,0,1
Adam Lallana,10,eng ENG,CM,36-260,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Lesley Ugochukwu,26,fr FRA,CM,20-305,78,43,43,0,0,0,0,1,0,0,0,0,0,37,0,1
William Smallbone,8,ie IRL,CM,24-339,12,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Ryan Manning,3,ie IRL,WB,28-225,59,30,26,3,0,0,0,3,2,1,1,0,0,25,1,0
Yukinari Sugawara,16,jp JPN,WB,24-211,31,17,14,3,0,0,0,2,3,0,0,0,0,15,0,0
Kyle Walker-Peters,2,eng ENG,WB,27-287,90,51,45,6,0,1,0,3,6,0,0,0,0,42,0,1
Taylor Harwood-Bellis,6,eng ENG,CB,22-361,90,75,74,1,0,0,0,0,1,0,0,0,0,63,0,0
Jan Bednarek,35,pl POL,CB,28-288,90,44,43,1,1,0,0,0,0,0,0,0,0,33,0,0
James Bree,14,eng ENG,CB,27-106,87,51,49,2,0,0,0,4,2,0,0,0,0,43,0,0
Ryan Fraser,24,sct SCO,CB,30-336,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Alex McCarthy,1,eng ENG,GK,35-053,90,39,29,9,3,0,0,0,0,0,0,0,0,27,1,0
