Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Cameron Archer,19,eng ENG,FW,23-111,72,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0
Paul Onuachu,32,ng NGA,FW,30-165,18,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,100.0
Mateus Fernandes,18,pt POR,"LM,DM,AM",20-122,90,0,0,0,2,1,0,8,0,2,0,0,0,6,0,0,
Adam Lallana,10,eng ENG,CM,36-183,59,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,
Lesley Ugochukwu,26,fr FRA,DM,20-228,31,1,0,0,2,0,0,1,0,0,0,0,0,4,0,0,
Joe Aribo,7,ng NGA,"CM,DM",28-111,72,0,0,0,1,1,0,0,0,1,0,0,0,4,0,0,
Ben Brereton,17,cl CHI,RW,25-205,18,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Adam Armstrong,9,eng ENG,"RM,LW",27-273,90,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,
Ryan Manning,3,ie IRL,LB,28-148,45,0,0,0,0,2,0,5,1,0,0,0,0,1,1,0,100.0
Tyler Dibling,33,eng ENG,"AM,LB,RW",18-242,45,0,0,0,0,5,0,3,0,1,0,0,0,6,1,0,100.0
Jack Stephens,5,eng ENG,CB,30-287,59,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,
Yukinari Sugawara,16,jp JPN,RB,24-134,31,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,
Jan Bednarek,35,pl POL,CB,28-211,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
Taylor Harwood-Bellis,6,eng ENG,CB,22-284,90,1,0,0,1,0,0,0,1,1,0,0,0,3,2,2,50.0
Kyle Walker-Peters,2,eng ENG,"RB,LB",27-210,90,1,0,0,1,2,0,3,1,2,0,0,0,4,1,2,33.3
Aaron Ramsdale,30,eng ENG,GK,26-179,90,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
