Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Dominic Solanke,19,eng ENG,FW,27-211,74,14,0,0,9,5,1,14,0,0,,0,,10,49,9,0,0,0,3,1,10,1
Richarlison,9,br BRA,FW,27-338,16,6,0,0,1,5,2,6,0,0,,0,,3,8,0,0,1,0,1,1,4,0
Mathys Tel,11,fr FRA,LW,19-351,90,57,1,5,20,33,2,57,3,1,33.3,1,33.3,41,221,150,3,4,0,2,1,45,18
Brennan Johnson,22,wls WAL,RW,23-325,90,39,0,3,15,21,1,39,2,1,50.0,1,50.0,34,171,73,2,2,0,0,1,37,7
James Maddison,10,eng ENG,LM,28-141,74,68,0,7,42,19,3,68,4,1,25.0,2,50.0,51,342,131,3,2,1,2,0,55,8
Dejan Kulusevski,21,se SWE,RM,24-353,16,11,1,1,4,6,1,11,0,0,,0,,8,62,27,0,0,0,1,1,7,2
Yves Bissouma,8,ml MLI,CM,28-226,54,48,2,9,32,7,0,48,0,0,,0,,27,186,52,0,0,0,0,1,38,0
Rodrigo Bentancur,30,uy URU,CM,27-292,36,37,2,12,19,6,1,37,0,0,,0,,28,165,98,1,0,0,1,1,30,2
Pape Matar Sarr,29,sn SEN,RM,22-211,54,18,1,1,13,4,2,18,0,0,,0,,12,52,18,1,0,1,0,1,13,2
Lucas Bergvall,15,se SWE,"RM,LM",19-070,36,18,0,1,10,7,0,18,0,0,,0,,12,118,83,3,1,0,0,2,16,1
Djed Spence,24,eng ENG,LB,24-247,90,85,4,30,36,22,2,85,6,3,50.0,2,33.3,50,347,190,7,5,0,2,1,61,7
Ben Davies,33,wls WAL,CB,31-354,90,100,13,53,45,2,2,100,0,0,,0,,55,265,156,1,0,0,2,0,72,0
Cristian Romero,17,ar ARG,CB,26-351,90,97,5,43,49,7,1,97,0,0,,0,,63,300,187,0,1,0,2,1,64,0
Archie Gray,14,eng ENG,RB,19-032,90,71,0,16,35,21,1,71,1,0,0.0,1,100.0,47,250,99,1,0,0,1,2,53,8
Guglielmo Vicario,1,it ITA,GK,28-188,90,40,30,40,0,0,0,40,0,0,,0,,30,139,94,0,0,0,0,0,29,0
