Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Dominic Solanke,19,eng ENG,FW,27-204,86,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0
Mathys Tel,11,fr FRA,FW,19-344,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Son Heung-min,7,kr KOR,LW,32-272,56,23,21,2,1,0,0,0,1,0,0,0,0,19,0,0
Wilson Odobert,28,fr FRA,LW,20-129,34,12,12,0,0,0,0,0,0,0,0,0,0,12,0,0
Brennan Johnson,22,wls WAL,RW,23-318,90,27,26,1,0,0,0,4,1,0,0,0,0,17,0,2
James Maddison,10,eng ENG,LM,28-134,79,49,43,6,4,1,0,3,1,0,0,0,0,44,0,2
Yves Bissouma,8,ml MLI,LM,28-219,11,11,11,0,0,0,0,0,0,0,0,0,0,9,0,1
Rodrigo Bentancur,30,uy URU,CM,27-285,56,28,27,1,1,0,0,1,0,0,0,0,0,25,0,0
Pape Matar Sarr,29,sn SEN,"CM,RM",22-204,34,14,14,0,0,0,0,0,0,0,0,0,0,13,0,0
Lucas Bergvall,15,se SWE,RM,19-063,79,29,29,0,0,0,0,0,0,0,0,0,0,24,0,1
Archie Gray,14,eng ENG,CM,19-025,11,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0
Djed Spence,24,eng ENG,LB,24-240,90,65,54,11,3,0,0,0,8,0,0,0,0,62,0,0
Ben Davies,33,wls WAL,CB,31-347,90,73,65,8,3,0,0,0,1,0,0,0,0,68,0,0
Cristian Romero,17,ar ARG,CB,26-344,90,64,61,3,3,0,1,0,0,0,0,0,0,58,0,0
Pedro Porro,23,es ESP,RB,25-205,90,67,54,12,3,0,2,7,5,4,0,3,0,49,1,2
Guglielmo Vicario,1,it ITA,GK,28-181,90,41,39,2,1,0,0,0,0,0,0,0,0,38,0,0
