Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Dominic Solanke,19,eng ENG,FW,26-340,90,2,2,0,2,0,0,0,,0,0,0,0,0,2,0,0
Son Heung-min,7,kr KOR,"LW,LM",32-042,89,0,0,0,0,0,0,3,0.0,3,0,0,0,1,1,1,0
Richarlison,9,br BRA,LM,27-101,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Brennan Johnson,22,wls WAL,RW,23-088,77,6,3,1,4,1,1,2,50.0,1,0,0,0,0,6,0,0
Timo Werner,16,de GER,RM,28-166,13,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
James Maddison,10,eng ENG,LM,27-270,78,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,2,0
Dejan Kulusevski,21,se SWE,CM,24-116,12,1,0,0,0,1,0,0,,0,3,0,3,0,1,1,0
Rodrigo Bentancur,30,uy URU,CM,27-055,77,3,3,1,2,0,2,2,100.0,0,0,0,0,2,5,0,0
Archie Gray,14,eng ENG,DM,18-160,13,2,1,0,0,2,1,1,100.0,0,0,0,0,0,2,1,0
Pape Matar Sarr,29,sn SEN,RM,21-340,77,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0
Lucas Bergvall,15,se SWE,CM,18-199,13,3,1,0,1,2,3,4,75.0,1,0,0,0,0,3,0,0
Destiny Udogie,13,it ITA,LB,21-265,90,4,2,2,1,1,2,3,66.7,1,3,1,2,0,4,1,0
Micky van de Ven,37,nl NED,CB,23-122,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,0
Cristian Romero,17,ar ARG,CB,26-114,90,1,1,1,0,0,0,0,,0,0,0,0,0,1,3,0
Pedro Porro,23,es ESP,RB,24-341,89,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0
Djed Spence,24,eng ENG,RB,24-010,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Guglielmo Vicario,1,it ITA,GK,27-317,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
