Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Son Heung-min,7,kr KOR,"FW,LW",32-047,90,46,2,5,18,24,3,46,4,1,25.0,3,75.0,28,127,48,1,3,0,1,1,34,10
Wilson Odobert,28,fr FRA,LW,19-270,66,53,2,9,18,26,7,53,6,2,33.3,4,66.7,39,308,175,7,3,2,1,4,41,10
Richarlison,9,br BRA,FW,27-106,24,11,1,1,10,0,0,11,1,1,100.0,0,0.0,6,25,13,1,0,0,0,0,9,1
Brennan Johnson,22,wls WAL,RW,23-093,90,29,0,1,11,17,6,29,3,0,0.0,1,33.3,20,123,56,3,2,3,2,0,23,11
James Maddison,10,eng ENG,LM,27-275,78,80,4,14,31,36,4,80,2,0,0.0,1,50.0,56,244,125,1,3,0,1,3,63,6
Lucas Bergvall,15,se SWE,LM,18-204,12,7,1,2,3,2,0,7,0,0,,0,,6,10,1,0,0,0,1,2,6,0
Yves Bissouma,8,ml MLI,CM,27-360,72,86,2,11,57,18,0,86,0,0,,0,,62,343,147,1,2,0,0,0,76,0
Archie Gray,14,eng ENG,CM,18-165,18,15,0,6,10,0,0,15,1,0,0.0,0,0.0,11,42,9,0,0,0,1,0,12,0
Dejan Kulusevski,21,se SWE,RM,24-121,66,29,1,1,9,20,3,29,4,2,50.0,2,50.0,15,146,95,4,2,0,2,0,17,4
Pape Matar Sarr,29,sn SEN,RM,21-345,24,18,1,4,12,2,1,18,1,0,0.0,1,100.0,12,63,27,1,0,0,1,1,12,0
Destiny Udogie,13,it ITA,LB,21-270,72,54,3,16,18,20,2,54,1,1,100.0,0,0.0,31,143,64,2,0,1,1,0,35,4
Djed Spence,24,eng ENG,LB,24-015,18,9,0,5,2,2,1,9,0,0,,0,,7,16,10,0,0,0,0,0,8,2
Micky van de Ven,37,nl NED,CB,23-127,90,73,3,39,33,2,0,73,0,0,,0,,53,264,188,0,1,0,0,1,53,0
Cristian Romero,17,ar ARG,CB,26-119,90,115,11,57,54,4,3,115,0,0,,0,,81,460,314,0,0,0,1,2,82,1
Pedro Porro,23,es ESP,RB,24-346,90,94,4,31,39,24,0,94,1,0,0.0,1,100.0,57,293,152,1,0,0,1,2,62,2
Guglielmo Vicario,1,it ITA,GK,27-322,90,46,28,46,0,0,0,46,0,0,,0,,41,182,86,0,0,0,0,0,33,0
