Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Dominic Solanke,19,eng ENG,FW,27-099,90,0,0,0,0,1,1,0,0,0,0,0,0,2,2,2,50.0
Son Heung-min,7,kr KOR,LW,32-167,81,0,0,0,0,0,3,2,0,0,0,0,0,4,0,0,
Timo Werner,16,de GER,LW,28-291,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,
Dejan Kulusevski,21,se SWE,"RW,AM",24-241,90,0,0,0,0,3,0,2,0,2,0,0,0,7,0,0,
James Maddison,10,eng ENG,AM,28-029,57,0,0,0,1,2,0,0,2,1,0,0,0,3,0,0,
Brennan Johnson,22,wls WAL,RW,23-213,33,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
Yves Bissouma,8,ml MLI,DM,28-114,90,0,0,0,3,1,0,0,1,2,0,0,0,9,0,0,
Pape Matar Sarr,29,sn SEN,DM,22-099,57,0,0,0,0,2,0,0,0,1,0,0,0,3,0,1,0.0
Lucas Bergvall,15,se SWE,DM,18-324,33,1,0,0,3,0,0,3,0,1,0,0,0,3,0,1,0.0
Djed Spence,24,eng ENG,LB,24-135,90,0,0,0,0,0,0,0,1,4,0,0,0,8,0,1,0.0
Archie Gray,14,eng ENG,CB,18-285,90,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0,100.0
Radu Drăgușin,6,ro ROU,CB,22-323,90,0,0,0,0,0,0,0,1,0,0,0,0,3,1,2,33.3
Pedro Porro,23,es ESP,RB,25-100,90,0,0,0,0,0,0,5,1,2,0,0,0,3,0,0,
Fraser Forster,20,eng ENG,GK,36-280,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
