Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Dominic Solanke,19,eng ENG,FW,27-106,90,1,0,0,0,1,1,3,33.3,2,1,0,1,0,1,0,0
Son Heung-min,7,kr KOR,LW,32-174,63,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,1,0
Timo Werner,16,de GER,LW,28-298,27,2,1,1,1,0,0,0,,0,0,0,0,0,2,1,0
Brennan Johnson,22,wls WAL,RW,23-220,63,2,2,0,2,0,1,1,100.0,0,1,0,1,1,3,0,0
James Maddison,10,eng ENG,AM,28-036,27,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Dejan Kulusevski,21,se SWE,"AM,RW",24-248,90,2,2,1,0,1,1,1,100.0,0,1,0,1,1,3,0,0
Rodrigo Bentancur,30,uy URU,DM,27-187,90,2,1,1,1,0,1,1,100.0,0,3,1,2,1,3,3,1
Yves Bissouma,8,ml MLI,DM,28-121,63,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,2,0
Pape Matar Sarr,29,sn SEN,DM,22-106,27,1,1,1,0,0,0,0,,0,2,1,1,0,1,0,0
Destiny Udogie,13,it ITA,LB,22-031,49,5,3,0,5,0,0,0,,0,2,0,2,0,5,0,0
Sergio Reguilón,3,es ESP,LB,28-013,41,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Archie Gray,14,eng ENG,CB,18-292,90,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,5,0
Radu Drăgușin,6,ro ROU,CB,22-330,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0
Pedro Porro,23,es ESP,RB,25-107,90,1,1,1,0,0,1,2,50.0,1,4,1,3,2,3,4,0
Fraser Forster,20,eng ENG,GK,36-287,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
