Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Dominic Solanke,19,eng ENG,FW,27-085,90,13,8,5,0,0,0,0,0,0,0,0,0,11,0,0
Son Heung-min,7,kr KOR,LW,32-153,90,31,29,2,0,0,0,2,0,2,2,0,0,25,0,0
Brennan Johnson,22,wls WAL,RW,23-199,52,7,7,0,0,0,0,3,0,0,0,0,0,4,0,1
Timo Werner,16,de GER,RW,28-277,38,17,17,0,0,1,0,2,0,0,0,0,0,10,0,3
Pape Matar Sarr,29,sn SEN,"LM,RM",22-085,90,20,19,0,0,0,0,0,0,0,0,0,0,17,1,0
Yves Bissouma,8,ml MLI,CM,28-100,78,24,23,1,1,0,0,0,0,0,0,0,0,21,0,0
Lucas Bergvall,15,se SWE,CM,18-310,12,18,17,1,1,0,1,1,0,0,0,0,0,18,0,0
Dejan Kulusevski,21,se SWE,RM,24-227,78,16,15,1,0,0,0,3,0,1,0,0,0,10,0,3
James Maddison,10,eng ENG,LM,28-015,12,9,7,2,1,0,0,0,0,1,0,0,0,7,0,0
Destiny Udogie,13,it ITA,LB,22-010,90,39,28,11,2,0,0,0,9,0,0,0,0,34,0,0
Micky van de Ven,37,nl NED,CB,23-233,78,38,36,2,2,0,0,0,0,0,0,0,0,29,0,0
Archie Gray,14,eng ENG,CB,18-271,12,16,14,1,1,0,0,0,0,0,0,0,0,14,1,0
Cristian Romero,17,ar ARG,CB,26-225,14,4,3,1,1,0,0,0,0,0,0,0,0,3,0,0
Radu Drăgușin,6,ro ROU,CB,22-309,76,28,28,0,0,0,0,0,0,0,0,0,0,25,0,1
Pedro Porro,23,es ESP,RB,25-086,90,46,35,11,3,0,0,4,7,1,0,1,0,34,0,2
Fraser Forster,20,eng ENG,GK,36-266,90,29,22,6,0,0,0,0,0,0,0,0,0,24,1,0
