Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Richarlison,9,br BRA,FW,27-268,78,3,2,0,3,0,0,0,,0,1,1,0,0,3,4,0
Dane Scarlett,44,eng ENG,FW,20-315,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Son Heung-min,7,kr KOR,LW,32-209,90,3,1,1,2,0,0,1,0.0,1,1,0,1,0,3,3,0
Mikey Moore,47,eng ENG,RW,17-175,45,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Lucas Bergvall,15,se SWE,RM,19-000,45,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0
Dejan Kulusevski,21,se SWE,"RW,AM",24-283,90,1,0,1,0,0,1,2,50.0,1,2,0,2,0,1,0,0
Rodrigo Bentancur,30,uy URU,"CM,DM",27-222,90,2,2,0,2,0,1,2,50.0,1,1,0,1,2,4,7,0
Yves Bissouma,8,ml MLI,"DM,LM",28-156,67,2,2,0,1,1,1,2,50.0,1,1,1,0,0,2,3,0
Pape Matar Sarr,29,sn SEN,LM,22-141,23,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0
Djed Spence,24,eng ENG,LB,24-177,90,4,3,3,0,1,1,2,50.0,1,3,1,2,1,5,6,0
Ben Davies,33,wls WAL,CB,31-284,90,0,0,0,0,0,0,0,,0,3,1,2,2,2,10,0
Archie Gray,14,eng ENG,CB,18-327,90,0,0,0,0,0,0,0,,0,1,1,0,2,2,5,0
Pedro Porro,23,es ESP,RB,25-142,90,6,3,5,1,0,5,10,50.0,5,2,2,0,3,9,7,0
Antonín Kinský,31,cz CZE,GK,21-326,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
