Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Dominic Solanke,19,eng ENG,FW,27-123,90,0,0,0,0,4,1,0,0,0,0,0,1,0,1,2,33.3
Son Heung-min,7,kr KOR,LW,32-191,77,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,
Richarlison,9,br BRA,LW,27-250,13,0,0,0,1,1,0,3,0,0,0,0,0,1,0,0,
Dejan Kulusevski,21,se SWE,"RM,RW",24-265,90,0,0,0,1,0,0,2,0,2,0,0,0,5,0,0,
Lucas Bergvall,15,se SWE,"CM,LM",18-348,90,0,0,0,1,2,0,1,1,4,0,0,0,2,1,2,33.3
Yves Bissouma,8,ml MLI,CM,28-138,45,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,
James Maddison,10,eng ENG,LM,28-053,45,0,0,0,0,1,0,2,1,0,0,0,0,3,0,0,
Pape Matar Sarr,29,sn SEN,RM,22-123,45,1,0,0,0,1,0,1,0,0,0,0,0,1,0,4,0.0
Brennan Johnson,22,wls WAL,RW,23-237,45,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
Djed Spence,24,eng ENG,LB,24-159,90,0,0,0,2,2,0,1,2,3,0,0,0,6,2,1,66.7
Archie Gray,14,eng ENG,CB,18-309,90,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,100.0
Radu Drăgușin,6,ro ROU,CB,22-347,90,0,0,0,0,2,0,0,0,1,0,0,0,0,2,4,33.3
Pedro Porro,23,es ESP,RB,25-124,90,0,0,0,2,1,0,6,0,1,0,0,0,3,0,0,
Antonín Kinský,31,cz CZE,GK,21-308,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,100.0
