Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Richarlison,9,br BRA,FW,27-261,53,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Mikey Moore,47,eng ENG,LW,17-168,37,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Son Heung-min,7,kr KOR,"LW,FW",32-202,90,2,1,0,1,1,0,1,0.0,1,1,0,1,0,2,0,0
Dejan Kulusevski,21,se SWE,RW,24-276,90,3,2,1,1,1,1,3,33.3,2,1,0,1,0,3,0,1
Pape Matar Sarr,29,sn SEN,LM,22-134,53,0,0,0,0,0,0,0,,0,2,2,0,0,0,0,0
Sergio Reguilón,3,es ESP,LB,28-041,37,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,1,0
Rodrigo Bentancur,30,uy URU,CM,27-215,90,2,1,0,1,1,0,1,0.0,1,3,1,2,4,6,2,0
Lucas Bergvall,15,se SWE,"RM,LM",18-359,90,0,0,0,0,0,0,1,0.0,1,0,0,0,3,3,1,0
Archie Gray,14,eng ENG,"LB,RM",18-320,89,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,2,0
Will Lankshear,42,eng ENG,RM,19-281,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ben Davies,33,wls WAL,CB,31-277,90,0,0,0,0,0,0,0,,0,2,2,0,0,0,3,0
Radu Drăgușin,6,ro ROU,CB,22-358,90,0,0,0,0,0,0,0,,0,2,2,0,1,1,2,0
Pedro Porro,23,es ESP,RB,25-135,90,2,2,2,0,0,2,4,50.0,2,0,0,0,1,3,2,0
Antonín Kinský,31,cz CZE,GK,21-319,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
