Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Dominic Solanke,19,eng ENG,FW,27-183,90,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0
Mathys Tel,11,fr FRA,"LW,RW",19-323,76,24,23,1,0,0,1,2,1,0,0,0,0,22,0,1
Wilson Odobert,28,fr FRA,RW,20-108,14,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Brennan Johnson,22,wls WAL,RW,23-297,45,12,12,0,0,0,0,1,0,0,0,0,0,6,0,0
Son Heung-min,7,kr KOR,"LW,RW",32-251,45,32,25,7,3,0,0,9,1,3,0,3,0,24,0,0
Yves Bissouma,8,ml MLI,LM,28-198,45,22,22,0,0,0,0,0,0,0,0,0,0,18,0,0
Lucas Bergvall,15,se SWE,"DM,LM",19-042,45,22,21,1,1,0,0,1,0,0,0,0,0,17,0,1
Archie Gray,14,eng ENG,"CM,CB",19-004,90,38,34,3,1,0,2,3,0,2,0,2,0,33,1,1
Rodrigo Bentancur,30,uy URU,"RM,DM",27-264,85,51,50,1,0,0,0,0,0,0,0,0,0,46,0,1
Dane Scarlett,44,eng ENG,DM,20-357,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Destiny Udogie,13,it ITA,LB,22-108,90,46,40,6,0,0,0,1,6,0,0,0,0,32,0,1
Ben Davies,33,wls WAL,CB,31-326,90,59,55,4,0,0,0,1,0,0,0,0,0,54,0,0
Cristian Romero,17,ar ARG,CB,26-323,67,48,43,5,5,0,0,0,0,0,0,0,0,41,0,0
James Maddison,10,eng ENG,AM,28-113,23,16,14,2,0,0,0,0,0,0,0,0,0,11,0,1
Djed Spence,24,eng ENG,RB,24-219,90,47,36,11,3,0,0,1,8,0,0,0,0,41,0,1
Guglielmo Vicario,1,it ITA,GK,28-160,90,24,21,3,1,0,0,0,0,0,0,0,0,21,0,0
