Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Dominic Solanke,19,eng ENG,FW,27-070,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Son Heung-min,7,kr KOR,LW,32-138,62,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Brennan Johnson,22,wls WAL,"LW,RW",23-184,28,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Dejan Kulusevski,21,se SWE,"RW,RM",24-212,90,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
James Maddison,10,eng ENG,LM,28-000,89,2,2,0,2,0,1,3,33.3,2,1,1,0,1,3,2,0
Timo Werner,16,de GER,"LW,LM",28-262,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Yves Bissouma,8,ml MLI,CM,28-085,90,2,1,1,1,0,0,1,0.0,1,0,0,0,2,4,1,1
Pape Matar Sarr,29,sn SEN,RM,22-070,89,3,3,1,2,0,1,2,50.0,1,3,0,3,1,4,3,0
Lucas Bergvall,15,se SWE,"LM,RM",18-295,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Destiny Udogie,13,it ITA,LB,21-361,89,3,2,2,1,0,2,2,100.0,0,1,0,1,0,3,3,0
Djed Spence,24,eng ENG,LB,24-106,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Ben Davies,33,wls WAL,CB,31-213,90,0,0,0,0,0,0,2,0.0,2,1,1,0,0,0,7,0
Radu Drăgușin,6,ro ROU,CB,22-294,90,1,1,1,0,0,1,2,50.0,1,3,3,0,1,2,2,0
Pedro Porro,23,es ESP,RB,25-071,90,0,0,0,0,0,0,1,0.0,1,3,2,1,0,0,8,0
Guglielmo Vicario,1,it ITA,GK,28-047,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
