Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Dominic Solanke,19,eng ENG,FW,27-043,90,22,19,3,0,0,0,1,1,0,0,0,0,12,0,1
Mikey Moore,47,eng ENG,LW,17-077,61,15,12,3,0,0,0,2,1,2,0,0,0,11,0,0
Timo Werner,16,de GER,LM,28-235,29,13,12,0,0,0,0,3,0,0,0,0,0,8,1,2
Brennan Johnson,22,wls WAL,"RW,RM",23-157,90,22,21,1,0,0,0,3,1,0,0,0,0,11,0,4
James Maddison,10,eng ENG,LM,27-339,61,37,34,3,2,0,0,1,0,1,1,0,0,29,0,0
Richarlison,9,br BRA,FW,27-170,29,7,7,0,0,0,0,1,0,0,0,0,0,5,0,0
Yves Bissouma,8,ml MLI,CM,28-058,86,43,37,6,6,1,0,0,0,0,0,0,0,36,0,0
Rodrigo Bentancur,30,uy URU,CM,27-124,4,16,16,0,0,0,0,0,0,0,0,0,0,15,0,0
Dejan Kulusevski,21,se SWE,RM,24-185,61,24,23,1,0,0,0,1,1,0,0,0,0,17,0,4
Pape Matar Sarr,29,sn SEN,CM,22-043,29,35,35,0,0,0,0,0,0,0,0,0,0,31,0,0
Destiny Udogie,13,it ITA,LB,21-334,90,62,54,8,2,0,0,2,6,0,0,0,0,51,0,3
Micky van de Ven,37,nl NED,CB,23-191,90,75,67,8,3,0,0,0,1,0,0,0,0,64,0,2
Cristian Romero,17,ar ARG,CB,26-183,90,77,67,10,5,1,0,0,0,0,0,0,0,67,0,0
Pedro Porro,23,es ESP,RB,25-044,90,81,67,14,2,0,0,14,7,5,0,5,0,50,0,4
Guglielmo Vicario,1,it ITA,GK,28-020,90,42,39,3,0,0,0,0,0,0,0,0,0,38,0,0
