Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Dominic Solanke,19,eng ENG,FW,27-007,87,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Mikey Moore,47,eng ENG,"LW,FW",17-041,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Son Heung-min,7,kr KOR,"LW,FW",32-075,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Brennan Johnson,22,wls WAL,RW,23-121,69,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Pape Matar Sarr,29,sn SEN,RM,22-007,21,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
James Maddison,10,eng ENG,LM,27-303,87,3,1,1,1,1,1,4,25.0,3,0,0,0,1,4,2,0
Lucas Bergvall,15,se SWE,LM,18-232,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Rodrigo Bentancur,30,uy URU,CM,27-088,62,2,2,1,1,0,1,2,50.0,1,1,0,1,3,5,0,0
Yves Bissouma,8,ml MLI,CM,28-022,28,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
Dejan Kulusevski,21,se SWE,"RM,RW",24-149,90,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0
Destiny Udogie,13,it ITA,LB,21-298,90,6,2,1,2,3,1,2,50.0,1,2,0,2,4,10,3,0
Micky van de Ven,37,nl NED,CB,23-155,90,2,1,1,0,1,2,2,100.0,0,1,0,1,1,3,4,0
Cristian Romero,17,ar ARG,CB,26-147,90,0,0,0,0,0,0,0,,0,0,0,0,3,3,4,0
Pedro Porro,23,es ESP,RB,25-008,87,4,4,2,1,1,2,3,66.7,1,1,0,1,4,8,0,0
Archie Gray,14,eng ENG,RB,18-193,3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Guglielmo Vicario,1,it ITA,GK,27-350,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1
