Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Dominic Solanke,19,eng ENG,FW,27-007,87,0,0,0,1,2,0,1,0,0,0,0,0,1,2,1,66.7
Mikey Moore,47,eng ENG,"LW,FW",17-041,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Son Heung-min,7,kr KOR,"LW,FW",32-075,90,0,0,0,1,0,0,2,0,0,0,0,0,3,0,3,0.0
Brennan Johnson,22,wls WAL,RW,23-121,69,0,0,0,2,0,1,1,0,0,0,0,0,2,1,0,100.0
Pape Matar Sarr,29,sn SEN,RM,22-007,21,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0
James Maddison,10,eng ENG,LM,27-303,87,1,0,0,1,4,0,6,1,1,0,0,0,4,0,0,
Lucas Bergvall,15,se SWE,LM,18-232,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rodrigo Bentancur,30,uy URU,CM,27-088,62,0,0,0,1,0,0,0,3,2,0,0,0,8,1,0,100.0
Yves Bissouma,8,ml MLI,CM,28-022,28,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
Dejan Kulusevski,21,se SWE,"RM,RW",24-149,90,0,0,0,0,0,0,7,1,0,0,0,0,6,0,0,
Destiny Udogie,13,it ITA,LB,21-298,90,0,0,0,0,1,0,2,4,2,0,0,0,9,2,1,66.7
Micky van de Ven,37,nl NED,CB,23-155,90,1,0,0,2,0,0,0,1,1,0,0,0,8,4,1,80.0
Cristian Romero,17,ar ARG,CB,26-147,90,0,0,0,1,0,0,0,3,0,0,0,0,12,2,1,66.7
Pedro Porro,23,es ESP,RB,25-008,87,0,0,0,0,1,0,4,4,4,0,0,0,5,0,0,
Archie Gray,14,eng ENG,RB,18-193,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guglielmo Vicario,1,it ITA,GK,27-350,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
