Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Dominic Solanke,19,eng ENG,FW,27-015,90,18,17,1,0,0,0,1,0,0,0,0,0,15,0,0
Timo Werner,16,de GER,LW,28-207,76,35,33,2,1,1,0,3,1,0,0,0,0,24,0,1
Lucas Bergvall,15,se SWE,LW,18-240,14,13,12,1,0,0,0,1,0,1,1,0,0,10,0,0
Brennan Johnson,22,wls WAL,RW,23-129,75,29,29,0,0,0,0,1,0,0,0,0,0,23,0,2
Mikey Moore,47,eng ENG,RW,17-049,15,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
James Maddison,10,eng ENG,LM,27-311,76,56,51,5,4,0,0,3,0,1,1,0,0,48,0,1
Pape Matar Sarr,29,sn SEN,LM,22-015,14,13,13,0,0,0,0,0,0,0,0,0,0,7,0,0
Rodrigo Bentancur,30,uy URU,CM,27-096,90,82,79,3,3,0,0,0,0,0,0,0,0,79,0,0
Dejan Kulusevski,21,se SWE,RM,24-157,90,40,39,1,0,1,0,2,0,1,1,0,0,35,0,1
Destiny Udogie,13,it ITA,LB,21-306,45,24,20,4,2,0,0,1,2,0,0,0,0,21,0,0
Djed Spence,24,eng ENG,LB,24-051,45,20,19,1,0,0,0,1,1,0,0,0,0,17,0,0
Micky van de Ven,37,nl NED,CB,23-163,80,91,87,4,2,0,0,0,0,0,0,0,0,88,0,0
Radu Drăgușin,6,ro ROU,CB,22-239,10,9,8,1,1,0,0,0,0,0,0,0,0,7,0,0
Cristian Romero,17,ar ARG,CB,26-155,90,120,113,6,5,0,1,0,0,0,0,0,0,107,1,1
Pedro Porro,23,es ESP,RB,25-016,90,73,61,12,0,0,1,2,12,0,0,0,0,60,0,1
Guglielmo Vicario,1,it ITA,GK,27-358,90,51,45,6,0,0,0,0,0,0,0,0,0,49,0,0
