Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Evan Ferguson,34,ie IRL,FW,20-164,45,17,1,3,9,5,1,17,0,0,,0,,11,35,3,0,0,0,3,3,14,1
Edson Álvarez,19,mx MEX,DM,27-159,45,34,0,4,27,3,0,34,2,0,0.0,1,50.0,19,122,78,1,1,0,0,0,22,0
Luis Guilherme,17,br BRA,AM,19-051,45,13,0,2,10,1,0,13,0,0,,0,,6,22,4,0,0,0,0,0,9,2
Niclas Füllkrug,11,de GER,FW,32-051,45,15,0,1,5,9,3,15,0,0,,0,,3,4,2,0,0,0,1,1,12,4
Jarrod Bowen,20,eng ENG,"RW,AM",28-102,90,44,0,3,16,26,3,44,4,0,0.0,3,75.0,23,158,63,3,2,1,3,5,27,7
James Ward-Prowse,8,eng ENG,"CM,DM",30-151,76,69,1,10,49,10,0,69,0,0,,0,,30,149,51,0,3,0,0,1,55,0
Tomáš Souček,28,cz CZE,DM,30-033,14,6,0,2,2,2,2,6,0,0,,0,,3,14,9,0,0,0,0,0,2,2
Lucas Paquetá,10,br BRA,"AM,CM",27-217,90,93,1,14,59,21,4,93,2,1,50.0,1,50.0,48,142,61,0,2,0,2,1,68,5
Oliver Scarles,57,eng ENG,"WB,LB",19-110,76,53,2,14,22,17,1,53,1,0,0.0,1,100.0,21,43,19,1,0,0,1,0,34,3
Emerson Palmieri,33,it ITA,LB,30-241,14,10,1,1,4,5,1,10,1,0,0.0,1,100.0,3,20,5,0,0,0,0,0,5,2
Aaron Wan-Bissaka,29,eng ENG,"RB,WB",27-126,90,95,1,24,52,20,2,95,4,0,0.0,4,100.0,40,161,87,2,4,0,1,0,60,5
Aaron Cresswell,3,eng ENG,CB,35-107,45,45,4,25,19,1,0,45,0,0,,0,,20,88,50,0,0,0,0,0,32,0
Carlos Soler,4,es ESP,LW,28-089,45,25,0,3,17,5,1,25,0,0,,0,,16,47,19,0,0,0,0,1,21,2
Max Kilman,26,eng ENG,CB,27-313,90,87,10,47,36,4,0,87,1,1,100.0,0,0.0,50,293,187,1,0,0,1,0,67,0
Konstantinos Mavropanos,15,gr GRE,CB,27-111,90,83,9,47,33,3,0,83,1,0,0.0,0,0.0,44,165,77,0,1,0,0,0,61,0
Alphonse Areola,23,fr FRA,GK,32-033,90,45,35,45,0,0,0,45,0,0,,0,,25,90,37,0,0,0,0,0,25,0
