Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Michail Antonio,9,jm JAM,FW,34-149,61,18,0,0,10,8,3,18,0,0,,0,,11,36,2,0,0,0,4,2,16,5
Aaron Wan-Bissaka,29,eng ENG,RB,26-272,29,12,2,8,4,1,0,12,2,2,100.0,0,0.0,4,71,57,2,0,0,1,2,3,0
Mohammed Kudus,14,gh GHA,LM,24-022,88,29,0,2,14,17,2,29,9,6,66.7,2,22.2,22,208,144,6,4,0,2,1,20,4
Jean-Clair Todibo,25,fr FRA,CB,24-238,2,2,1,2,0,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Lucas Paquetá,10,br BRA,"CM,LM",26-363,90,59,2,17,36,7,2,59,1,1,100.0,0,0.0,19,74,35,2,1,1,1,0,36,4
Tomáš Souček,28,cz CZE,CM,29-179,77,32,1,5,15,12,6,32,0,0,,0,,7,13,4,1,1,1,1,1,16,3
Edson Álvarez,19,mx MEX,"CM,DM",26-305,13,12,1,8,4,1,0,12,1,0,0.0,1,100.0,3,6,0,0,0,0,0,0,5,1
Jarrod Bowen,20,eng ENG,RM,27-248,90,34,2,9,10,16,3,34,5,1,20.0,4,80.0,20,145,67,3,2,1,0,5,20,7
Guido Rodríguez,24,ar ARG,"DM,CM",30-134,90,53,1,17,34,2,0,53,1,1,100.0,0,0.0,19,101,29,1,0,0,0,2,24,0
Emerson Palmieri,33,it ITA,LB,30-021,88,58,3,13,39,7,0,58,2,2,100.0,0,0.0,14,62,44,1,0,0,1,0,34,1
Aaron Cresswell,3,eng ENG,LB,34-253,2,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,1,0
Max Kilman,26,eng ENG,CB,27-093,90,77,15,35,40,2,1,77,2,1,50.0,0,0.0,40,155,93,1,1,0,0,1,53,0
Konstantinos Mavropanos,15,gr GRE,CB,26-257,90,69,13,33,36,1,1,69,0,0,,0,,30,118,62,0,0,0,0,0,39,0
Vladimír Coufal,5,cz CZE,RB,32-002,62,43,2,12,23,8,0,43,1,0,0.0,0,0.0,10,23,6,0,0,0,1,0,18,1
Niclas Füllkrug,11,de GER,FW,31-197,28,12,1,1,6,5,3,12,2,0,0.0,2,100.0,4,40,36,2,0,2,2,0,8,2
Alphonse Areola,23,fr FRA,GK,31-179,90,46,39,45,1,0,0,46,0,0,,0,,22,86,39,0,0,0,0,0,22,0
