Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Niclas Füllkrug,11,de GER,FW,31-321,67,10,10,0,0,0,0,0,0,0,0,0,0,6,0,0
Crysencio Summerville,7,nl NED,LM,23-057,23,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
Mohammed Kudus,14,gh GHA,"LM,RM",24-146,90,32,32,0,0,0,1,2,0,0,0,0,0,27,0,0
Carlos Soler,4,es ESP,CM,27-359,45,25,22,3,1,0,0,1,0,1,1,0,0,20,0,2
Edson Álvarez,19,mx MEX,CM,27-063,45,25,25,0,0,0,0,1,0,0,0,0,0,18,0,0
Tomáš Souček,28,cz CZE,CM,29-303,90,33,33,0,0,0,0,0,0,0,0,0,0,24,0,1
Jarrod Bowen,20,eng ENG,"RM,FW",28-006,90,25,25,0,0,1,1,3,0,0,0,0,0,19,0,1
Guido Rodríguez,24,ar ARG,DM,30-258,67,21,20,1,1,0,1,0,0,0,0,0,0,19,0,0
Aaron Cresswell,3,eng ENG,CB,35-011,23,13,10,3,2,0,0,1,1,0,0,0,0,8,0,0
Emerson Palmieri,33,it ITA,LB,30-145,87,51,45,6,0,0,1,1,5,1,0,1,0,39,0,4
Vladimír Coufal,5,cz CZE,RB,32-126,3,4,3,1,0,0,0,0,1,0,0,0,0,2,0,0
Max Kilman,26,eng ENG,CB,27-217,18,12,11,1,0,0,0,0,0,0,0,0,0,10,0,0
Jean-Clair Todibo,25,fr FRA,CB,24-362,72,36,31,5,5,0,0,0,0,0,0,0,0,30,0,1
Konstantinos Mavropanos,15,gr GRE,CB,27-015,90,44,41,3,1,0,0,0,0,0,0,0,0,39,0,1
Aaron Wan-Bissaka,29,eng ENG,"RB,LB",27-030,90,49,43,6,0,0,0,1,6,0,0,0,0,40,0,3
Łukasz Fabiański,1,pl POL,GK,39-252,35,18,16,2,1,0,0,0,0,0,0,0,0,15,0,0
Alphonse Areola,23,fr FRA,GK,31-303,55,34,24,10,3,0,0,0,0,0,0,0,0,25,0,0
