Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Lucas Paquetá,10,br BRA,"FW,AM,DM",27-172,90,70,1,8,35,27,4,70,2,0,0.0,1,50.0,45,146,78,2,3,0,4,2,53,8
Carlos Soler,4,es ESP,LW,28-044,45,13,1,3,8,3,0,13,1,1,100.0,0,0.0,8,94,22,0,1,0,1,1,10,0
Evan Ferguson,34,ie IRL,FW,20-119,45,16,0,0,3,13,4,16,3,2,66.7,1,33.3,10,62,23,1,0,1,1,2,12,2
Jarrod Bowen,20,eng ENG,RW,28-057,90,48,0,2,23,23,6,48,4,1,25.0,3,75.0,39,255,151,6,2,4,4,2,41,9
Mohammed Kudus,14,gh GHA,"AM,LW",24-197,90,52,0,6,20,30,3,52,6,3,50.0,3,50.0,39,247,125,4,2,0,3,2,39,8
Tomáš Souček,28,cz CZE,DM,29-354,45,35,5,13,15,7,2,35,0,0,,0,,11,36,14,0,0,0,0,0,15,1
James Ward-Prowse,8,eng ENG,DM,30-106,45,52,1,8,28,16,0,52,0,0,,0,,26,119,52,2,3,0,0,0,32,0
Edson Álvarez,19,mx MEX,"DM,CB",27-114,90,66,3,21,36,9,1,66,0,0,,0,,40,248,105,2,1,0,0,0,45,2
Emerson Palmieri,33,it ITA,LB,30-196,45,28,3,9,16,3,0,28,2,1,50.0,0,0.0,18,54,30,1,0,0,0,0,20,2
Oliver Scarles,57,eng ENG,LB,19-065,45,43,1,11,18,14,2,43,0,0,,0,,23,61,19,0,0,0,2,1,22,2
Max Kilman,26,eng ENG,CB,27-268,90,65,12,33,29,3,2,65,1,1,100.0,0,0.0,36,184,146,1,0,0,0,0,44,0
Konstantinos Mavropanos,15,gr GRE,CB,27-066,87,64,15,37,24,3,1,64,1,1,100.0,0,0.0,38,158,87,0,1,0,1,0,42,0
Luis Guilherme,17,br BRA,LW,19-006,3,2,0,1,1,0,0,2,0,0,,0,,1,4,4,0,0,0,0,0,1,0
Aaron Wan-Bissaka,29,eng ENG,RB,27-081,90,76,5,23,29,24,1,76,0,0,,0,,44,168,87,3,3,0,0,1,46,7
Alphonse Areola,23,fr FRA,GK,31-354,90,51,43,51,0,0,0,51,0,0,,0,,33,142,106,0,0,0,0,0,29,0
