Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Jarrod Bowen,20,eng ENG,FW,28-045,90,2,2,2,0,0,1,1,100.0,0,0,0,0,2,4,1,0
Carlos Soler,4,es ESP,AM,28-032,76,3,2,2,1,0,1,1,100.0,0,0,0,0,1,4,1,0
Danny Ings,18,eng ENG,"LW,AM",32-195,14,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Mohammed Kudus,14,gh GHA,AM,24-185,90,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,2,1
Andy Irving,39,sct SCO,CM,24-266,76,1,0,1,0,0,0,0,,0,3,1,2,1,2,2,0
Lewis Orford,61,eng ENG,"DM,CM",18-351,14,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Tomáš Souček,28,cz CZE,"CM,DM",29-342,90,1,0,0,1,0,1,3,33.3,2,4,2,2,0,1,8,0
Emerson Palmieri,33,it ITA,WB,30-184,71,2,0,2,0,0,2,2,100.0,0,2,0,2,0,2,1,0
Oliver Scarles,57,eng ENG,"WB,LB",19-053,19,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,3,0
Aaron Wan-Bissaka,29,eng ENG,"WB,RB",27-069,90,1,1,1,0,0,0,0,,0,1,1,0,2,3,5,0
Aaron Cresswell,3,eng ENG,CB,35-050,86,1,0,1,0,0,1,1,100.0,0,1,1,0,0,1,2,0
Luis Guilherme,17,br BRA,RW,18-360,4,0,0,0,0,0,0,0,,0,2,0,2,1,1,0,0
Max Kilman,26,eng ENG,CB,27-256,90,1,1,0,1,0,0,0,,0,2,2,0,1,2,3,0
Vladimír Coufal,5,cz CZE,CB,32-165,71,1,0,1,0,0,1,2,50.0,1,2,2,0,1,2,5,0
Konstantinos Mavropanos,15,gr GRE,CB,27-054,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Alphonse Areola,23,fr FRA,GK,31-342,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
