Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Lucas Paquetá,10,br BRA,"FW,RW",27-140,90,3,2,0,3,0,1,1,100.0,0,0,0,0,0,3,0,0
Carlos Soler,4,es ESP,LW,28-012,71,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,2,0
Andy Irving,39,sct SCO,"DM,LW",24-246,19,1,0,1,0,0,0,0,,0,1,0,1,0,1,1,0
Mohammed Kudus,14,gh GHA,RW,24-165,62,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0
Danny Ings,18,eng ENG,"FW,RW",32-175,28,1,1,0,1,0,0,1,0.0,1,2,0,2,0,1,1,0
Tomáš Souček,28,cz CZE,AM,29-322,90,1,0,0,1,0,0,0,,0,1,0,1,2,3,1,0
Guido Rodríguez,24,ar ARG,DM,30-277,80,0,0,0,0,0,0,0,,0,2,1,1,0,0,1,0
Oliver Scarles,57,eng ENG,LW,19-033,10,0,0,0,0,0,0,0,,0,1,1,0,0,0,2,0
Edson Álvarez,19,mx MEX,DM,27-082,90,2,2,1,1,0,0,0,,0,1,1,0,1,3,3,0
Emerson Palmieri,33,it ITA,LB,30-164,80,1,1,1,0,0,1,1,100.0,0,1,1,0,1,2,3,0
Aaron Cresswell,3,eng ENG,LB,35-030,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Max Kilman,26,eng ENG,CB,27-236,90,0,0,0,0,0,0,0,,0,2,1,1,0,0,6,0
Konstantinos Mavropanos,15,gr GRE,CB,27-034,90,2,2,1,1,0,0,1,0.0,1,0,0,0,1,3,5,0
Aaron Wan-Bissaka,29,eng ENG,RB,27-049,90,0,0,0,0,0,0,2,0.0,2,2,1,1,2,2,4,0
Łukasz Fabiański,1,pl POL,GK,39-271,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
