Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Lucas Paquetá,10,br BRA,FW,27-152,90,30,27,2,1,0,0,0,0,0,0,0,0,23,1,2
Carlos Soler,4,es ESP,AM,28-024,74,22,18,4,2,0,0,3,0,1,1,0,0,16,0,0
Danny Ings,18,eng ENG,AM,32-187,16,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0
Mohammed Kudus,14,gh GHA,AM,24-177,89,31,31,0,0,0,0,2,0,0,0,0,0,29,0,0
Guido Rodríguez,24,ar ARG,CM,30-289,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Edson Álvarez,19,mx MEX,CM,27-094,88,42,42,0,0,0,2,2,0,0,0,0,0,38,0,2
Andy Irving,39,sct SCO,CM,24-258,2,8,7,0,0,0,0,0,0,0,0,0,0,6,1,0
Tomáš Souček,28,cz CZE,CM,29-334,90,54,52,2,2,0,0,0,0,0,0,0,0,44,0,1
Emerson Palmieri,33,it ITA,WB,30-176,74,27,27,0,0,0,0,3,0,0,0,0,0,22,0,1
Oliver Scarles,57,eng ENG,WB,19-045,16,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0
Aaron Wan-Bissaka,29,eng ENG,WB,27-061,90,58,51,6,0,0,0,6,6,0,0,0,0,44,1,5
Aaron Cresswell,3,eng ENG,CB,35-042,90,55,44,11,4,0,0,4,5,2,2,0,0,46,0,1
Max Kilman,26,eng ENG,CB,27-248,90,49,49,0,0,0,0,0,0,0,0,0,0,46,0,0
Vladimír Coufal,5,cz CZE,CB,32-157,90,60,52,7,2,0,0,2,5,0,0,0,0,48,1,0
Alphonse Areola,23,fr FRA,GK,31-334,90,40,26,14,4,0,0,0,0,0,0,0,0,28,0,0
