Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Lucas Paquetá,10,br BRA,FW,27-152,90,51,0,0,28,23,6,51,5,1,20.0,3,60.0,28,92,48,2,1,0,5,4,33,3
Carlos Soler,4,es ESP,AM,28-024,74,29,0,4,17,8,2,29,2,0,0.0,2,100.0,13,43,13,0,0,0,1,0,15,1
Danny Ings,18,eng ENG,AM,32-187,16,10,0,1,3,6,2,10,2,1,50.0,0,0.0,6,18,1,0,0,0,0,0,6,4
Mohammed Kudus,14,gh GHA,AM,24-177,89,58,0,6,28,26,8,58,14,6,42.9,7,50.0,32,172,64,2,2,2,6,2,34,5
Guido Rodríguez,24,ar ARG,CM,30-289,1,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Edson Álvarez,19,mx MEX,CM,27-094,88,63,4,17,35,11,1,63,2,0,0.0,2,100.0,41,190,68,0,3,0,3,1,43,1
Andy Irving,39,sct SCO,CM,24-258,2,10,0,1,5,4,0,10,1,1,100.0,0,0.0,4,14,8,0,0,0,0,0,5,1
Tomáš Souček,28,cz CZE,CM,29-334,90,68,4,14,42,13,9,68,1,1,100.0,0,0.0,34,116,38,1,1,1,2,1,42,3
Emerson Palmieri,33,it ITA,WB,30-176,74,35,0,7,16,12,4,35,2,0,0.0,1,50.0,25,101,44,3,1,1,0,0,27,4
Oliver Scarles,57,eng ENG,WB,19-045,16,11,1,5,6,2,0,11,0,0,,0,,8,49,33,1,0,0,0,0,5,1
Aaron Wan-Bissaka,29,eng ENG,WB,27-061,90,71,2,12,30,29,1,71,6,4,66.7,2,33.3,44,277,103,4,0,1,0,2,41,10
Aaron Cresswell,3,eng ENG,CB,35-042,90,62,6,20,29,13,0,62,0,0,,0,,37,161,69,2,2,0,0,0,39,1
Max Kilman,26,eng ENG,CB,27-248,90,65,14,40,22,4,3,65,1,1,100.0,0,0.0,40,189,99,0,1,1,1,0,41,0
Vladimír Coufal,5,cz CZE,CB,32-157,90,70,6,28,32,10,1,70,0,0,,0,,42,185,104,1,0,0,0,0,46,0
Alphonse Areola,23,fr FRA,GK,31-334,90,41,29,41,0,0,0,41,0,0,,0,,23,79,41,0,0,0,0,0,21,0
