Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Mohammed Kudus,14,gh GHA,"FW,LM",24-220,90,0,0,0,2,4,1,4,0,0,0,0,0,7,2,1,66.7
Jarrod Bowen,20,eng ENG,"FW,RM",28-080,90,0,0,0,0,2,0,5,0,0,0,0,0,2,0,1,0.0
Edson Álvarez,19,mx MEX,CM,27-137,64,0,0,0,0,1,0,0,1,1,0,0,0,1,4,1,80.0
Carlos Soler,4,es ESP,CM,28-067,26,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
James Ward-Prowse,8,eng ENG,"CM,DM",30-129,83,0,0,0,1,1,0,2,0,2,0,0,0,6,2,0,100.0
Danny Ings,18,eng ENG,DM,32-230,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0
Tomáš Souček,28,cz CZE,CM,30-011,64,0,0,0,1,2,0,0,0,1,0,0,0,0,3,1,75.0
Lucas Paquetá,10,br BRA,CM,27-195,26,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,
Oliver Scarles,57,eng ENG,"WB,LB",19-088,90,0,0,0,0,1,0,2,0,3,0,0,0,4,0,0,
Aaron Wan-Bissaka,29,eng ENG,"WB,RB",27-104,90,0,0,0,0,1,0,1,2,1,0,0,0,6,0,0,
Aaron Cresswell,3,eng ENG,CB,35-085,68,0,0,0,0,0,0,4,1,0,0,0,0,3,0,0,
Evan Ferguson,34,ie IRL,FW,20-142,22,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,100.0
Max Kilman,26,eng ENG,CB,27-291,90,0,0,0,0,0,0,0,2,0,0,0,0,2,4,3,57.1
Jean-Clair Todibo,25,fr FRA,CB,25-070,64,0,0,0,0,0,0,1,2,1,0,0,0,2,0,2,0.0
Konstantinos Mavropanos,15,gr GRE,CB,27-089,26,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0.0
Alphonse Areola,23,fr FRA,GK,32-011,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
