Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Michail Antonio,9,jm JAM,FW,34-242,74,0,0,0,4,2,0,4,0,1,0,0,0,3,2,0,100.0
Danny Ings,18,eng ENG,FW,32-125,16,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0.0
Crysencio Summerville,7,nl NED,LW,23-026,83,0,0,0,1,1,0,0,0,2,0,0,0,1,0,1,0.0
Andy Irving,39,sct SCO,AM,24-196,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
Jarrod Bowen,20,eng ENG,RW,27-341,90,0,0,0,0,2,0,1,2,2,0,0,0,11,1,0,100.0
Carlos Soler,4,es ESP,AM,27-328,83,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0,
Guido Rodríguez,24,ar ARG,"DM,AM",30-227,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Lucas Paquetá,10,br BRA,"DM,LW",27-090,90,0,0,0,0,3,0,1,1,6,0,0,0,5,1,0,100.0
Tomáš Souček,28,cz CZE,DM,29-272,90,0,0,0,0,1,0,0,0,0,0,0,0,2,4,3,57.1
Emerson Palmieri,33,it ITA,LB,30-114,74,0,0,0,0,0,0,3,0,2,0,0,0,4,1,1,50.0
Vladimír Coufal,5,cz CZE,RB,32-095,16,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0
Max Kilman,26,eng ENG,CB,27-186,90,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,50.0
Jean-Clair Todibo,25,fr FRA,CB,24-331,56,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,
Konstantinos Mavropanos,15,gr GRE,CB,26-350,34,0,0,0,0,1,0,0,1,2,0,0,0,0,3,0,100.0
Aaron Wan-Bissaka,29,eng ENG,"RB,LB",26-365,90,0,0,0,1,0,0,1,2,2,0,0,0,4,0,0,
Łukasz Fabiański,1,pl POL,GK,39-221,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
