Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Michail Antonio,9,jm JAM,FW,34-205,60,7,6,1,0,0,0,0,0,0,0,0,0,6,0,0
Crysencio Summerville,7,nl NED,"AM,LM",22-355,30,6,6,0,0,0,0,0,0,0,0,0,0,5,0,1
Mohammed Kudus,14,gh GHA,"LM,AM,RM",24-078,85,30,30,0,0,0,0,2,0,0,0,0,0,27,0,1
Lucas Paquetá,10,br BRA,CM,27-053,60,19,17,2,0,0,0,0,0,0,0,0,0,14,0,0
Edson Álvarez,19,mx MEX,CM,26-361,30,16,13,3,2,0,0,0,1,0,0,0,0,13,0,1
Tomáš Souček,28,cz CZE,CM,29-235,60,22,22,0,0,0,0,0,0,0,0,0,0,18,0,0
Carlos Soler,4,es ESP,CM,27-291,30,12,12,0,0,0,0,0,0,0,0,0,0,9,0,1
Jarrod Bowen,20,eng ENG,"RM,FW",27-304,90,34,29,5,0,0,0,4,0,3,3,0,0,22,0,0
Guido Rodríguez,24,ar ARG,DM,30-190,70,30,30,0,0,0,0,0,0,0,0,0,0,22,0,1
Konstantinos Mavropanos,15,gr GRE,CB,26-313,20,14,12,2,1,0,0,0,1,0,0,0,0,12,0,1
Emerson Palmieri,33,it ITA,"LB,WB",30-077,90,48,36,12,3,0,0,4,7,2,0,2,0,39,0,0
Max Kilman,26,eng ENG,CB,27-149,90,28,27,1,1,0,0,0,0,0,0,0,0,27,0,0
Jean-Clair Todibo,25,fr FRA,CB,24-294,90,36,35,1,1,0,1,0,0,0,0,0,0,33,0,0
Aaron Wan-Bissaka,29,eng ENG,"RB,WB",26-328,90,57,49,8,0,0,0,2,8,0,0,0,0,46,0,1
Alphonse Areola,23,fr FRA,GK,31-235,90,41,25,15,4,0,0,0,0,0,0,0,0,24,1,0
