Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Michail Antonio,9,jm JAM,FW,34-170,45,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Crysencio Summerville,7,nl NED,LW,22-320,45,0,0,0,0,0,0,1,0.0,1,2,1,1,0,0,1,0
Mohammed Kudus,14,gh GHA,"RW,LW",24-043,90,1,1,0,1,0,1,3,33.3,2,1,0,1,1,2,0,0
Jarrod Bowen,20,eng ENG,"FW,RW",27-269,90,3,2,0,1,2,1,1,100.0,0,3,1,2,1,4,1,0
Tomáš Souček,28,cz CZE,AM,29-200,45,0,0,0,0,0,0,0,,0,2,1,1,0,0,1,0
Lucas Paquetá,10,br BRA,AM,27-018,45,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Guido Rodríguez,24,ar ARG,DM,30-155,69,3,0,1,2,0,2,4,50.0,2,2,0,2,0,3,0,0
Carlos Soler,4,es ESP,DM,27-256,21,1,1,0,1,0,0,3,0.0,3,2,1,1,1,2,1,0
Edson Álvarez,19,mx MEX,DM,26-326,81,5,3,4,0,1,2,2,100.0,0,1,0,1,3,8,1,0
Danny Ings,18,eng ENG,DM,32-053,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Emerson Palmieri,33,it ITA,LB,30-042,56,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Vladimír Coufal,5,cz CZE,RB,32-023,34,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Max Kilman,26,eng ENG,CB,27-114,90,0,0,0,0,0,0,0,,0,2,1,1,1,1,4,0
Konstantinos Mavropanos,15,gr GRE,CB,26-278,90,2,1,2,0,0,1,1,100.0,0,1,1,0,1,3,10,0
Aaron Wan-Bissaka,29,eng ENG,"RB,LB",26-293,90,3,2,0,3,0,2,2,100.0,0,0,0,0,2,5,3,0
Alphonse Areola,23,fr FRA,GK,31-200,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
