Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Michail Antonio,9,jm JAM,FW,34-170,45,16,11,5,0,0,0,2,4,0,0,0,0,7,0,2
Crysencio Summerville,7,nl NED,LW,22-320,45,12,11,1,0,0,0,0,1,0,0,0,0,7,0,2
Mohammed Kudus,14,gh GHA,"RW,LW",24-043,90,24,24,0,0,0,1,3,0,0,0,0,0,22,0,0
Jarrod Bowen,20,eng ENG,"FW,RW",27-269,90,15,14,1,0,0,0,2,0,0,0,0,0,12,0,2
Tomáš Souček,28,cz CZE,AM,29-200,45,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0
Lucas Paquetá,10,br BRA,AM,27-018,45,29,22,7,5,0,0,4,0,2,1,1,0,19,0,0
Guido Rodríguez,24,ar ARG,DM,30-155,69,34,33,1,1,0,1,1,0,0,0,0,0,27,0,3
Carlos Soler,4,es ESP,DM,27-256,21,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
Edson Álvarez,19,mx MEX,DM,26-326,81,39,37,2,2,0,2,0,0,0,0,0,0,32,0,0
Danny Ings,18,eng ENG,DM,32-053,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
Emerson Palmieri,33,it ITA,LB,30-042,56,29,17,10,2,0,0,3,8,0,0,0,0,22,2,0
Vladimír Coufal,5,cz CZE,RB,32-023,34,22,15,7,0,0,0,0,7,0,0,0,0,16,0,0
Max Kilman,26,eng ENG,CB,27-114,90,39,36,3,2,0,2,0,0,0,0,0,0,30,0,0
Konstantinos Mavropanos,15,gr GRE,CB,26-278,90,43,41,2,2,0,3,0,0,0,0,0,0,36,0,1
Aaron Wan-Bissaka,29,eng ENG,"RB,LB",26-293,90,30,24,6,0,0,1,1,6,0,0,0,0,24,0,1
Alphonse Areola,23,fr FRA,GK,31-200,90,32,17,15,3,0,0,0,0,0,0,0,0,20,0,0
