Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Jarrod Bowen,20,eng ENG,"FW,RW",27-276,90,0,0,0,0,2,0,8,1,1,0,0,0,3,1,2,33.3
Crysencio Summerville,7,nl NED,LW,22-327,53,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,
Michail Antonio,9,jm JAM,FW,34-177,37,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0.0
Mohammed Kudus,14,gh GHA,"RW,LW",24-050,90,0,0,0,1,2,1,3,0,0,0,0,0,1,0,3,0.0
Emerson Palmieri,33,it ITA,"LM,LB",30-049,72,0,0,0,2,1,0,3,1,0,0,0,0,1,1,0,100.0
Aaron Cresswell,3,eng ENG,LB,34-281,18,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,
Lucas Paquetá,10,br BRA,"CM,LM",27-025,72,0,0,0,1,1,1,4,0,0,0,0,0,5,1,1,50.0
Andy Irving,39,sct SCO,LM,24-131,18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
Guido Rodríguez,24,ar ARG,CM,30-162,37,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Tomáš Souček,28,cz CZE,CM,29-207,53,1,0,0,2,0,0,0,2,0,0,0,0,0,2,0,100.0
Aaron Wan-Bissaka,29,eng ENG,"RM,RB",26-300,90,0,0,0,1,0,0,5,0,1,0,0,0,10,1,2,33.3
Max Kilman,26,eng ENG,CB,27-121,90,1,0,0,1,0,0,0,1,0,0,0,0,9,0,0,
Edson Álvarez,19,mx MEX,CB,26-333,53,1,0,0,2,0,0,0,0,1,0,0,0,1,1,0,100.0
Carlos Soler,4,es ESP,RM,27-263,37,1,0,0,3,2,0,1,0,0,0,0,0,3,0,1,0.0
Konstantinos Mavropanos,15,gr GRE,CB,26-285,90,0,0,0,1,0,0,0,3,2,0,0,0,5,2,0,100.0
Alphonse Areola,23,fr FRA,GK,31-207,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
