Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Michail Antonio,9,jm JAM,FW,34-184,74,20,20,0,0,1,1,2,0,0,0,0,0,15,0,0
Danny Ings,18,eng ENG,FW,32-067,16,7,7,0,0,0,0,1,0,0,0,0,0,2,0,1
Mohammed Kudus,14,gh GHA,LM,24-057,45,19,19,0,0,0,0,0,0,0,0,0,0,15,0,1
Carlos Soler,4,es ESP,"LM,CM",27-270,45,15,15,0,0,0,0,0,0,0,0,0,0,14,0,0
Lucas Paquetá,10,br BRA,CM,27-032,75,44,42,2,0,1,1,3,0,0,0,0,0,34,0,0
Crysencio Summerville,7,nl NED,LM,22-334,15,6,6,0,0,1,0,0,0,0,0,0,0,2,0,0
Tomáš Souček,28,cz CZE,CM,29-214,90,30,30,0,0,0,0,1,0,0,0,0,0,22,0,0
Jarrod Bowen,20,eng ENG,RM,27-283,89,30,25,5,0,0,0,5,0,5,1,4,0,18,0,2
Andy Irving,39,sct SCO,RM,24-138,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Guido Rodríguez,24,ar ARG,DM,30-169,90,43,42,1,1,0,0,0,0,0,0,0,0,38,0,0
Emerson Palmieri,33,it ITA,LB,30-056,45,31,23,7,0,0,0,1,6,1,0,0,0,25,1,0
Konstantinos Mavropanos,15,gr GRE,RB,26-292,45,26,18,8,0,0,2,1,8,0,0,0,0,15,0,1
Max Kilman,26,eng ENG,CB,27-128,90,39,38,1,1,0,0,0,0,0,0,0,0,34,0,0
Jean-Clair Todibo,25,fr FRA,CB,24-273,90,49,49,0,0,0,0,1,0,0,0,0,0,41,0,0
Aaron Wan-Bissaka,29,eng ENG,"LB,RB",26-307,90,42,37,5,1,0,0,1,4,0,0,0,0,36,0,1
Alphonse Areola,23,fr FRA,GK,31-214,90,37,30,6,0,0,0,0,0,0,0,0,0,26,1,1
